"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",5,0,"F4_0",0.273166868351711,"F3_723",1,285758.5431,4425786.8749,TRUE
"2",6,0,"F4_1",0.0451599081081364,"F3_746",1,285758.6626,4425785.9298,TRUE
"3",7,0,"F4_2",0.25559420554693,"F3_755",1,285758.6787,4425785.0187,TRUE
"4",8,0,"F4_3",0.163437710203421,"F3_756",1,285754.8164,4425784.5528,TRUE
"5",9,0,"F4_4",0.15568597455302,"F3_768",1,285755.4903,4425783.495,TRUE
"6",10,0,"F4_5",0.114462445400877,"F3_742",1,285753.8826,4425783.1438,TRUE
"7",11,0,"F4_6",0.202360487789297,"F3_717",1,285755.6042,4425782.4753,TRUE
"8",12,0,"F4_7",0.214944704862737,"F3_767",1,285754.487,4425781.7887,TRUE
"9",13,0,"F4_8",0.293435276238564,"F3_764",1,285756.2755,4425781.458,TRUE
"10",14,0,"F4_9",0.227620874282696,"F3_759",1,285753.7987,4425779.7209,TRUE
"11",15,0,"F4_10",0.283633683117574,"F3_740",1,285752.1696,4425779.7189,TRUE
"12",16,0,"F4_11",0.0832608080662345,"F3_747",1,285753.1786,4425778.6002,TRUE
"13",17,0,"F4_12",0.133429133875132,"F3_750",1,285748.8625,4425781.9933,TRUE
"14",18,0,"F4_13",0.245798284222277,"F3_719",1,285750.5849,4425780.6872,TRUE
"15",19,0,"F4_14",0.100150386259251,"F3_720",1,285749.5516,4425778.7834,TRUE
"16",63,0,"F4_15",0.0230724756818783,"F3_777",1,285804.3087,4425771.3806,TRUE
"17",64,0,"F4_16",0.0712728532942316,"F3_735",1,285753.8903,4425777.4364,TRUE
"18",65,0,"F4_17",0.0937190363832126,"F3_748",1,285752.8568,4425777.1416,TRUE
"19",66,0,"F4_18",0.26863966019917,"F3_751",1,285751.8961,4425776.8747,TRUE
"20",67,0,"F4_19",0.225727722525338,"F3_727",1,285753.8284,4425776.1468,TRUE
"21",68,0,"F4_20",0.142653368802209,"F3_758",1,285755.1354,4425775.7981,TRUE
"22",69,0,"F4_21",0.193199304641432,"F3_716",1,285752.2577,4425775.5845,TRUE
"23",70,0,"F4_22",0.14714500018206,"F3_754",1,285754.0945,4425774.8732,TRUE
"24",71,0,"F4_23",0.0570265413206748,"F3_752",1,285755.2251,4425774.7913,TRUE
"25",72,0,"F4_24",0.32532410306339,"F3_744",1,285752.4539,4425773.4767,TRUE
"26",73,0,"F4_25",0.19678896144409,"F3_739",1,285750.4501,4425778.3678,TRUE
"27",74,0,"F4_26",0.280297620794884,"F3_726",1,285749.6446,4425777.5639,TRUE
"28",75,0,"F4_27",0.0608349761614326,"F3_761",1,285748.017,4425777.2759,TRUE
"29",76,0,"F4_28",0.322296982013866,"F3_741",1,285750.2917,4425776.5016,TRUE
"30",77,0,"F4_29",0.208782847804007,"F3_745",1,285751.0804,4425776.4915,TRUE
"31",78,0,"F4_30",0.0944808631958894,"F3_743",1,285748.162,4425775.9007,TRUE
"32",79,0,"F4_31",0.13812822568262,"F3_769",1,285749.2709,4425775.6993,TRUE
"33",80,0,"F4_32",0.0769760483023201,"F3_734",1,285750.1599,4425774.8709,TRUE
"34",81,0,"F4_33",0.230559694309137,"F3_724",1,285748.6497,4425774.7524,TRUE
"35",82,0,"F4_34",0.130730604560062,"F3_721",1,285749.2894,4425773.688,TRUE
"36",83,0,"F4_35",0.288161054716349,"F3_766",1,285749.0708,4425772.4155,TRUE
"37",158,0,"F4_36",0.129780556007018,"F3_771",1,285806.3333,4425763.1613,TRUE
"38",159,0,"F4_37",0.131761430691436,"F3_774",1,285805.1313,4425761.0899,TRUE
"39",160,0,"F4_38",0.119486373722613,"F3_775",1,285801.6002,4425764.1251,TRUE
"40",161,0,"F4_39",0.047927780643751,"F3_770",1,285801.7924,4425763.082,TRUE
"41",162,0,"F4_40",0.29235139579148,"F3_781",1,285801.6363,4425762.2523,TRUE
"42",163,0,"F4_41",0.102300353857091,"F3_782",1,285803.9254,4425761.0114,TRUE
"43",164,0,"F4_42",0.164098829582535,"F3_773",1,285802.766,4425760.9365,TRUE
"44",165,0,"F4_43",0.205434009808333,"F3_667",1,285775.8691,4425760.7553,TRUE
"45",166,0,"F4_44",0.112588278996517,"F3_697",1,285764.5365,4425767.813,TRUE
"46",167,0,"F4_45",0.170717656730547,"F3_788",1,285763.3706,4425764.7447,TRUE
"47",168,0,"F4_46",0.241989091856534,"F3_702",1,285733.1918,4425761.8241,TRUE
"48",286,0,"F4_47",0.1323428082794,"F3_772",1,285805.8024,4425760.3145,TRUE
"49",287,0,"F4_48",0.147600208934109,"F3_780",1,285806.3594,4425759.6272,TRUE
"50",288,0,"F4_49",0.188365111327116,"F3_778",1,285806.0125,4425758.4354,TRUE
"51",289,0,"F4_50",0.505769336082274,"F3_632",1,285779.1535,4425757.6953,TRUE
"52",290,0,"F4_51",0.181100546971017,"F3_671",0,285778.1936,4425757.385,TRUE
"53",291,0,"F4_52",0.152880918123718,"F3_643",1,285780.4953,4425751.9365,TRUE
"54",292,0,"F4_53",0.180177181690043,"F3_660",1,285773.854,4425759.4363,TRUE
"55",293,0,"F4_54",0.263509877248865,"F3_629",1,285777.1726,4425758.0519,TRUE
"56",294,0,"F4_55",0.295006145038337,"F3_639",1,285773.9633,4425757.63,TRUE
"57",295,0,"F4_56",0.150024617419177,"F3_664",1,285772.5338,4425755.608,TRUE
"58",296,0,"F4_57",0.243222786068055,"F3_665",0,285775.1547,4425754.2278,TRUE
"59",297,0,"F4_58",0.159485573029317,"F3_658",1,285774.4036,4425753.5991,TRUE
"60",298,0,"F4_59",0.048923053221185,"F3_709",1,285735.8715,4425758.2212,TRUE
"61",299,0,"F4_60",0.134671117038304,"F3_714",0,285739.1143,4425752.2018,TRUE
"62",300,0,"F4_61",0.315249266017223,"F3_708",1,285736.3151,4425751.8767,TRUE
"63",363,0,"F4_62",0.074546859423642,"F3_647",1,285788.5509,4425746.9582,TRUE
"64",364,0,"F4_63",0.177647801305824,"F3_692",1,285793.0654,4425745.6623,TRUE
"65",365,0,"F4_64",0.0546643431938992,"F3_785",1,285793.7442,4425745.6453,TRUE
"66",366,0,"F4_65",0.0972036793846743,"F3_675",1,285792.9392,4425744.7613,TRUE
"67",367,0,"F4_66",0.157208020953643,"F3_654",1,285788.9378,4425744.3608,TRUE
"68",368,0,"F4_67",0.0506176356550499,"F3_680",1,285789.8408,4425744.1321,TRUE
"69",369,0,"F4_68",0.245986772902124,"F3_681",1,285792.1039,4425743.4088,TRUE
"70",370,0,"F4_69",0.140837090104396,"F3_688",1,285790.7237,4425743.2528,TRUE
"71",371,0,"F4_70",0.0746697991292447,"F3_686",1,285789.1794,4425743.1207,TRUE
"72",372,0,"F4_71",0.326200478933157,"F3_690",1,285778.5801,4425749.3162,TRUE
"73",373,0,"F4_72",0.27988149423589,"F3_650",0,285780.0616,4425748.9647,TRUE
"74",374,0,"F4_73",0.356864617267915,"F3_789",1,285781.26,4425747.3776,TRUE
"75",375,0,"F4_74",0.0525765954658259,"F3_786",1,285784.1213,4425744.8385,TRUE
"76",376,0,"F4_75",0.176876251219411,"F3_682",1,285777.2944,4425746.6949,TRUE
"77",377,0,"F4_76",0.333690359920587,"F3_678",1,285762.8542,4425746.6677,TRUE
"78",378,0,"F4_77",0.167290786817984,"F3_630",0,285762.4678,4425744.1254,TRUE
"79",379,0,"F4_78",0.174839992530313,"F3_712",1,285734.2056,4425751.4896,TRUE
"80",380,0,"F4_79",0.0746111429654606,"F3_711",1,285735.604,4425750.7486,TRUE
"81",381,0,"F4_80",0.44669256616882,"F3_711",0,285735.361,4425750.3134,TRUE
"82",382,0,"F4_81",0.184690233845461,"F3_705",1,285734.5144,4425749.5704,TRUE
"83",383,0,"F4_82",0.120979268638075,"F3_715",1,285737.0358,4425749.0871,TRUE
"84",404,0,"F4_83",0.00961029402569365,"F3_478",1,285807.2289,4425736.0541,TRUE
"85",405,0,"F4_84",0.317561436930671,"F3_508",1,285809.4646,4425734.6253,TRUE
"86",406,0,"F4_85",0.129033195300105,"F3_637",1,285797.7901,4425740.2217,TRUE
"87",407,0,"F4_86",0.16312055754333,"F3_636",1,285792.3793,4425742.4061,TRUE
"88",408,0,"F4_87",0.243727683505078,"F3_649",1,285790.4517,4425741.5013,TRUE
"89",409,0,"F4_88",0.136198179887823,"F3_787",1,285785.5792,4425740.4856,TRUE
"90",410,0,"F4_89",1.02644148385516,"F3_787",0,285784.4583,4425740.5427,TRUE
"91",411,0,"F4_90",3.31782126900553,"F3_648",0,285782.2061,4425739.5103,TRUE
"92",412,0,"F4_91",0.158649161948434,"F3_648",1,285784.5245,4425737.045,TRUE
"93",413,0,"F4_92",1.27863467561666,"F3_648",0,285783.3155,4425737.0095,TRUE
"94",414,0,"F4_93",0.144470540741411,"F3_631",1,285781.2273,4425736.0165,TRUE
"95",415,0,"F4_94",1.37018302794688,"F3_666",0,285776.9423,4425740.9152,TRUE
"96",416,0,"F4_95",0.246356058949206,"F3_666",1,285776.2532,4425739.8035,TRUE
"97",417,0,"F4_96",0.292969568675871,"F3_652",1,285769.7928,4425738.5945,TRUE
"98",418,0,"F4_97",0.117895636997877,"F3_571",1,285770.719,4425734.9119,TRUE
"99",419,0,"F4_98",0.218045653493248,"F3_522",1,285769.6503,4425733.7191,TRUE
"100",420,0,"F4_99",0.123947657270383,"F3_635",1,285766.6711,4425741.5269,TRUE
"101",421,0,"F4_100",0.182947052340406,"F3_659",1,285764.9269,4425741.2183,TRUE
"102",422,0,"F4_101",0.842094779319708,"F3_659",0,285765.6167,4425741.1652,TRUE
"103",423,0,"F4_102",0.0481729073835884,"F3_655",1,285761.9554,4425741.0793,TRUE
"104",424,0,"F4_103",2.44109225808665,"F3_655",0,285762.6116,4425738.7689,TRUE
"105",425,0,"F4_104",3.55034231365136,"F3_522",0,285767.0957,4425736.4784,TRUE
"106",426,0,"F4_105",0.0912813977980208,"F3_672",1,285758.9388,4425742.1921,TRUE
"107",428,0,"F4_106",0.0985850289474847,"F3_497",1,285814.2423,4425729.9369,TRUE
"108",429,0,"F4_107",1.90319798322328,"F3_492",0,285822.9281,4425727.0971,TRUE
"109",430,0,"F4_108",0.456502642344023,"F3_482",0,285818.0049,4425725.2049,TRUE
"110",431,0,"F4_109",0.177679168118636,"F3_480",1,285811.8424,4425733.6788,TRUE
"111",432,0,"F4_110",0.265102113583686,"F3_519",1,285808.285,4425733.0768,TRUE
"112",433,0,"F4_111",1.14605073975221,"F3_486",0,285813.7941,4425732.8007,TRUE
"113",434,0,"F4_112",1.0878303900931,"F3_519",0,285808.027,4425732.1241,TRUE
"114",435,0,"F4_113",0.314444383823203,"F3_486",1,285813.1806,4425731.9143,TRUE
"115",436,0,"F4_114",2.74333347388834,"F3_519",0,285806.9586,4425730.8434,TRUE
"116",437,0,"F4_115",0.747910923219423,"F3_485",1,285810.7227,4425729.86,TRUE
"117",438,0,"F4_116",0.185389214073997,"F3_488",1,285811.4492,4425727.8922,TRUE
"118",439,0,"F4_117",0.122645608046064,"F3_516",1,285810.5617,4425727.8668,TRUE
"119",440,0,"F4_118",0.124959907832827,"F3_490",0,285811.0596,4425726.9438,TRUE
"120",441,0,"F4_119",1.8934592002493,"F3_477",0,285801.9931,4425727.5353,TRUE
"121",442,0,"F4_120",0.169160987335591,"F3_487",0,285804.0097,4425724.9741,TRUE
"122",443,0,"F4_121",0.215400805632683,"F3_687",1,285787.321,4425730.1268,TRUE
"123",444,0,"F4_122",0.950981064209872,"F3_670",0,285782.1087,4425732.9718,TRUE
"124",445,0,"F4_123",0.250536361724835,"F3_683",1,285783.0492,4425732.1032,TRUE
"125",446,0,"F4_124",0.259243823320823,"F3_661",0,285785.5726,4425730.8096,TRUE
"126",447,0,"F4_125",0.077861778319901,"F3_679",1,285786.222,4425730.3086,TRUE
"127",448,0,"F4_126",0.180123097054951,"F3_559",1,285772.5445,4425731.9638,TRUE
"128",449,0,"F4_127",1.45165091709222,"F3_537",0,285774.441,4425731.4408,TRUE
"129",450,0,"F4_128",0.629498012510758,"F3_548",0,285771.3228,4425731.2677,TRUE
"130",451,0,"F4_129",0.147535217262501,"F3_595",1,285773.4397,4425730.5309,TRUE
"131",452,0,"F4_130",0.415789708047049,"F3_600",0,285770.5212,4425729.6678,TRUE
"132",453,0,"F4_131",1.07820024663774,"F3_589",1,285771.2511,4425728.3848,TRUE
"133",454,0,"F4_132",0.162973153455349,"F3_594",1,285769.2621,4425731.059,TRUE
"134",455,0,"F4_133",0.183601218208458,"F3_588",1,285767.3379,4425728.2698,TRUE
"135",456,0,"F4_134",0.356598836596443,"F3_614",1,285762.0456,4425726.535,TRUE
"136",457,0,"F4_135",0.18476291478561,"F3_570",1,285763.5383,4425725.7185,TRUE
"137",458,0,"F4_136",0.110244409616517,"F3_526",1,285751.7178,4425729.5373,TRUE
"138",459,0,"F4_137",0.0367979328496519,"F3_613",1,285755.9279,4425728.5159,TRUE
"139",460,0,"F4_138",0.165647101726167,"F3_609",1,285755.2354,4425727.2923,TRUE
"140",461,0,"F4_139",0.0921852653514494,"F3_599",1,285753.7106,4425726.5495,TRUE
"141",462,0,"F4_140",0.0479133477525112,"F3_558",1,285751.4023,4425725.471,TRUE
"142",463,0,"F4_141",0.740729817684643,"F3_539",1,285750.5059,4425726.8276,TRUE
"143",464,0,"F4_142",4.71868733501887,"F3_498",0,285811.1307,4425721.0473,TRUE
"144",465,0,"F4_143",1.3997202051197,"F3_512",0,285799.5005,4425722.1128,TRUE
"145",466,0,"F4_144",0.119157716075397,"F3_502",1,285803.5048,4425720.2562,TRUE
"146",467,0,"F4_145",0.0854621797232547,"F3_560",1,285771.4192,4425719.5437,TRUE
"147",468,0,"F4_146",0.242501211386971,"F3_622",1,285770.6769,4425718.3548,TRUE
"148",469,0,"F4_147",0.272997551319943,"F3_610",1,285771.3649,4425715.8438,TRUE
"149",470,0,"F4_148",0.169597535111812,"F3_626",1,285769.128,4425723.6053,TRUE
"150",471,0,"F4_149",0.218640325890609,"F3_603",1,285769.1662,4425721.83,TRUE
"151",472,0,"F4_150",0.105859435385989,"F3_606",1,285763.2084,4425719.7464,TRUE
"152",473,0,"F4_151",0.15594608361593,"F3_597",1,285764.377,4425719.6218,TRUE
"153",474,0,"F4_152",0.828436520844887,"F3_617",0,285767.3937,4425718.9436,TRUE
"154",475,0,"F4_153",0.154975945413446,"F3_617",1,285766.5139,4425718.8861,TRUE
"155",476,0,"F4_154",0.0740785331041707,"F3_536",1,285762.6265,4425717.5544,TRUE
"156",477,0,"F4_155",0.440698465762355,"F3_566",1,285763.9747,4425717.2383,TRUE
"157",478,0,"F4_156",0.239445274325428,"F3_527",1,285767.9744,4425716.7778,TRUE
"158",479,0,"F4_157",0.311333120114575,"F3_542",1,285761.4665,4425716.7753,TRUE
"159",480,0,"F4_158",0.704190433783543,"F3_582",0,285764.77,4425716.286,TRUE
"160",481,0,"F4_159",0.205506457408696,"F3_569",1,285767.1498,4425715.7179,TRUE
"161",482,0,"F4_160",0.183583747890562,"F3_579",1,285756.7004,4425724.1969,TRUE
"162",483,0,"F4_161",0.0724628707331245,"F3_576",1,285757.7695,4425723.8598,TRUE
"163",484,0,"F4_162",0.142626074685775,"F3_534",1,285756.2148,4425723.1846,TRUE
"164",485,0,"F4_163",0.161786487857763,"F3_532",1,285759.9298,4425722.0562,TRUE
"165",486,0,"F4_164",0.181141106936583,"F3_572",1,285758.8176,4425720.362,TRUE
"166",487,0,"F4_165",0.219707640881897,"F3_587",1,285758.3669,4425719.475,TRUE
"167",488,0,"F4_166",0.229466902775841,"F3_608",1,285756.5941,4425718.5504,TRUE
"168",489,0,"F4_167",0.246472988287011,"F3_564",1,285754.7697,4425717.1001,TRUE
"169",490,0,"F4_168",0.516967610721171,"F3_530",1,285759.1003,4425717.0079,TRUE
"170",491,0,"F4_169",0.105575458216202,"F3_561",1,285756.4554,4425716.3963,TRUE
"171",492,0,"F4_170",0.211454830709714,"F3_625",1,285759.8674,4425716.3676,TRUE
"172",493,0,"F4_171",0.336962287909104,"F3_541",1,285755.6852,4425716.0574,TRUE
"173",494,0,"F4_172",0.334477844317295,"F3_396",1,285831.7111,4425713.5744,TRUE
"174",495,0,"F4_173",0.40023856357947,"F3_404",0,285805.5916,4425710.5021,TRUE
"175",496,0,"F4_174",1.30066495364489,"F3_404",0,285806.6016,4425710.3279,TRUE
