"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"62",62,0,"F1_","F1_62",0.3616204840464,"F3_52",1,285246.8644,4426035.8991,TRUE
"63",63,0,"F1_","F1_63",0.0238006794176069,"F3_56",1,285249.403,4426035.5366,TRUE
"64",64,0,"F1_","F1_64",0.142921887398091,"F3_57",1,285247.4478,4426035.2538,TRUE
"65",65,0,"F1_","F1_65",0.214475961930914,"F3_59",1,285245.2687,4426034.7673,TRUE
"66",66,0,"F1_","F1_66",0.312850203664111,"F3_58",1,285248.7055,4426034.8902,TRUE
"67",67,0,"F1_","F1_67",0.237801805235382,"F3_70",1,285295.9792,4426023.9754,TRUE
"68",68,0,"F1_","F1_68",0.111188358910068,"F3_71",1,285292.6666,4426023.6241,TRUE
"69",69,0,"F1_","F1_69",0.0779439202148045,"F3_76",1,285293.7435,4426022.7471,TRUE
"70",70,0,"F1_","F1_70",0.11258559077222,"F3_75",1,285295.7137,4426022.7392,TRUE
"71",71,0,"F1_","F1_71",0.254285641175379,"F3_78",1,285294.6016,4426022.0428,TRUE
"72",72,0,"F1_","F1_72",0.0422190639158307,"F3_80",1,285292.7003,4426021.3372,TRUE
"73",73,0,"F1_","F1_73",0.195626003677993,"F3_198",1,285294.6924,4426020.8021,TRUE
"74",74,0,"F1_","F1_74",0.273210096451859,"F3_81",1,285289.4955,4426027.7762,TRUE
"75",75,0,"F1_","F1_75",0.14621442688029,"F3_82",1,285287.8034,4426026.9719,TRUE
"76",76,0,"F1_","F1_76",0.139391501761216,"F3_821",1,285290.9202,4426026.2733,TRUE
"77",77,0,"F1_","F1_77",0.194116439651874,"F3_84",1,285289.1183,4426025.8868,TRUE
"78",78,0,"F1_","F1_78",0.195269489545784,"F3_83",1,285288.3032,4426025.8863,TRUE
"79",79,0,"F1_","F1_79",0.181928925993312,"F3_86",1,285283.5495,4426025.6044,TRUE
"80",80,0,"F1_","F1_80",0.271016310450721,"F3_85",1,285284.9111,4426025.6041,TRUE
"81",81,0,"F1_","F1_81",0.158519669908828,"F3_87",1,285281.0897,4426025.4672,TRUE
"82",82,0,"F1_","F1_82",0.259487328449033,"F3_88",1,285290.1471,4426025.2872,TRUE
"83",83,0,"F1_","F1_83",0.171387969823914,"F3_820",1,285285.577,4426025.0805,TRUE
"84",84,0,"F1_","F1_84",0.234646676045648,"F3_89",1,285288.5896,4426024.9781,TRUE
"85",85,0,"F1_","F1_85",0.281909903747952,"F3_91",1,285289.504,4426024.5534,TRUE
"86",86,0,"F1_","F1_86",0.121975115634162,"F3_90",1,285282.3658,4426024.6349,TRUE
"87",87,0,"F1_","F1_87",0.208948567795734,"F3_819",1,285286.9609,4426024.2523,TRUE
"88",88,0,"F1_","F1_88",0.227283987793589,"F3_92",1,285281.1358,4426024.1873,TRUE
"89",89,0,"F1_","F1_89",0.0681557665283313,"F3_93",1,285284.4019,4426024.0636,TRUE
"90",90,0,"F1_","F1_90",0.195706623896842,"F3_94",1,285279.9189,4426023.8522,TRUE
"91",91,0,"F1_","F1_91",0.303775271863513,"F3_72",1,285291.0171,4426023.8438,TRUE
"92",92,0,"F1_","F1_92",0.23295847956181,"F3_96",1,285283.0326,4426023.5251,TRUE
"93",93,0,"F1_","F1_93",0.0768920975202564,"F3_73",1,285291.8144,4426023.1691,TRUE
"94",94,0,"F1_","F1_94",0.359000385551185,"F3_74",1,285290.499,4426023.2045,TRUE
"95",95,0,"F1_","F1_95",1.0429495566031,"F3_99",0,285287.1122,4426023.0981,TRUE
"96",96,0,"F1_","F1_96",0.201635537640866,"F3_95",1,285281.4948,4426023.2635,TRUE
"97",97,0,"F1_","F1_97",0.179893659743828,"F3_97",1,285284.7684,4426022.9781,TRUE
"98",98,0,"F1_","F1_98",0.0289440840169693,"F3_99",1,285286.1084,4426022.8647,TRUE
"99",99,0,"F1_","F1_99",0.0985673364342189,"F3_98",1,285280.4448,4426022.8736,TRUE
"100",100,0,"F1_","F1_100",0.245840252211204,"F3_818",1,285292.1738,4426022.3944,TRUE
"101",101,0,"F1_","F1_101",0.108089965330967,"F3_100",1,285284.0084,4426022.4368,TRUE
"102",102,0,"F1_","F1_102",0.223862089295694,"F3_101",1,285282.2682,4426022.312,TRUE
"103",103,0,"F1_","F1_103",0.260092712565528,"F3_104",1,285285.3132,4426022.2588,TRUE
"104",104,0,"F1_","F1_104",0.386940688303171,"F3_102",1,285283.1843,4426022.1465,TRUE
"105",105,0,"F1_","F1_105",0.156804336765583,"F3_103",1,285290.2298,4426022.0714,TRUE
"106",106,0,"F1_","F1_106",0.0476107618982659,"F3_106",1,285286.7524,4426021.7822,TRUE
"107",107,0,"F1_","F1_107",0.0445451751514503,"F3_107",1,285288.1042,4426021.8462,TRUE
"108",108,0,"F1_","F1_108",0.162098899430516,"F3_79",1,285291.0205,4426021.6445,TRUE
"109",109,0,"F1_","F1_109",0.247315001411841,"F3_105",1,285280.7531,4426021.8585,TRUE
"110",110,0,"F1_","F1_110",0.144668093209386,"F3_108",1,285281.6317,4426021.5173,TRUE
"111",111,0,"F1_","F1_111",0.178211752667936,"F3_110",1,285285.8042,4426021.2828,TRUE
"112",112,0,"F1_","F1_112",0.234689957674696,"F3_109",1,285279.3729,4426021.1913,TRUE
"113",113,0,"F1_","F1_113",0.798237472433577,"F3_103",0,285290.2175,4426021.2795,TRUE
