"","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",0,"F3_0",0.25970611197947,"F1_622",1,285512.568458142,4426136.71117766,TRUE
"2",0,"F3_1",0.245391496994229,"F1_0",1,285514.307803693,4426136.17136371,TRUE
"3",0,"F3_2",0.236648817002338,"F1_5",1,285509.959236006,4426136.24523753,TRUE
"4",0,"F3_3",0.219516941337871,"F1_7",1,285506.409015225,4426135.60446516,TRUE
"5",0,"F3_4",0.137938883319154,"F1_1",1,285513.758757388,4426135.42465711,TRUE
"6",0,"F3_5",0.319052141553826,"F1_623",1,285509.54117835,4426134.85544542,TRUE
"7",0,"F3_6",0.22754170136098,"F1_4",1,285506.093550554,4426136.50852109,TRUE
"8",0,"F3_7",0.333441017633889,"F1_8",1,285503.404545649,4426135.28898609,TRUE
"9",0,"F3_8",0.252963555914442,"F1_9",1,285505.276067392,4426134.64305233,TRUE
"10",0,"F3_9",0.105432139012361,"F1_19",1,285517.909542696,4426124.85091826,TRUE
"11",0,"F3_10",0.104843056986192,"F1_22",1,285518.241658927,4426124.05957678,TRUE
"12",0,"F3_11",0.167943729333354,"F1_2",1,285514.398362,4426134.53881051,TRUE
"13",0,"F3_12",0.389870717273842,"F1_10",1,285510.463967598,4426134.03973244,TRUE
"14",0,"F3_13",0.141241225184569,"F1_3",1,285513.007668666,4426133.91425299,TRUE
"15",0,"F3_14",0.117900596257059,"F1_11",1,285513.569435331,4426128.87459184,TRUE
"16",0,"F3_15",0.12606718455451,"F1_12",1,285515.195821343,4426128.94995105,TRUE
"17",0,"F3_16",0.0661068432708838,"F1_38",1,285511.375230455,4426128.52454301,TRUE
"18",0,"F3_17",0.159544839865336,"F1_13",1,285516.1273974,4426127.60092301,TRUE
"19",0,"F3_18",0.205708735007654,"F1_39",1,285509.440124678,4426127.5988039,TRUE
"20",0,"F3_19",0.0602418247058244,"F1_620",1,285512.249200084,4426127.301159,TRUE
"21",0,"F3_20",0.163816297333118,"F1_15",1,285514.847547971,4426126.69365086,TRUE
"22",0,"F3_21",0.218999611029085,"F1_14",1,285515.906196843,4426126.63801333,TRUE
"23",0,"F3_22",0.157708112584753,"F1_40",1,285509.997744629,4426126.35686937,TRUE
"24",0,"F3_23",0.111777236142757,"F1_41",1,285511.791607923,4426126.27696431,TRUE
"25",0,"F3_24",0.289627252563849,"F1_17",1,285515.958337648,4426125.82697434,TRUE
"26",0,"F3_25",0.0366803498857385,"F1_16",1,285517.206040401,4426125.78831021,TRUE
"27",0,"F3_26",0.0720669986392974,"F1_42",1,285508.311131698,4426125.91871244,TRUE
"28",0,"F3_27",0.197890623495933,"F1_18",1,285515.259247309,4426125.42094565,TRUE
"29",0,"F3_28",0.16367682283965,"F1_43",1,285510.447023024,4426125.44750549,TRUE
"30",0,"F3_29",0.127599361099712,"F1_46",1,285506.459004929,4426125.13630368,TRUE
"31",0,"F3_30",0.134030603819174,"F1_45",1,285509.409292612,4426125.16665371,TRUE
"32",0,"F3_31",0.155150428387722,"F1_20",1,285516.141235743,4426124.79103623,TRUE
"33",0,"F3_32",0.0949711108996124,"F1_48",1,285512.643664506,4426124.64049226,TRUE
"34",0,"F3_33",0.152835332910087,"F1_21",1,285514.861053934,4426124.42415162,TRUE
"35",0,"F3_34",0.205275160928509,"F1_619",1,285509.259045463,4426124.10014186,TRUE
"36",0,"F3_35",0.126806900783764,"F1_49",1,285506.410111788,4426123.8142161,TRUE
"37",0,"F3_36",0.0861773386235966,"F1_23",1,285517.359444595,4426123.95007773,TRUE
"38",0,"F3_37",0.312981698132415,"F1_624",1,285505.864876711,4426133.75701547,TRUE
"39",0,"F3_38",0.133689051545229,"F1_47",1,285505.621214689,4426124.83044213,TRUE
"40",0,"F3_39",0.207399815699663,"F1_24",1,285517.791587725,4426123.34219216,TRUE
"41",0,"F3_40",0.0921055374469734,"F1_66",1,285522.238471664,4426116.48422552,TRUE
"42",0,"F3_41",0.219757261862674,"F1_72",1,285523.025831578,4426114.17322639,TRUE
"43",0,"F3_42",0.0760065250920555,"F1_73",1,285521.255311475,4426113.90648392,TRUE
"44",0,"F3_43",0.122310946521484,"F1_74",1,285522.399067939,4426113.68262779,TRUE
"45",0,"F3_44",0.186925595857385,"F1_77",1,285523.424753142,4426113.19778882,TRUE
"46",0,"F3_45",0.234391122606183,"F1_76",1,285521.149385857,4426112.90445908,TRUE
"47",0,"F3_46",0.121836794686298,"F1_78",1,285519.268857841,4426112.77701653,TRUE
"48",0,"F3_47",0.0646151686405582,"F1_79",1,285524.341875457,4426112.19143868,TRUE
"49",0,"F3_48",0.24074627151792,"F1_610",1,285521.428954894,4426111.99223386,TRUE
"50",0,"F3_49",0.0916415734582811,"F1_621",1,285517.071979358,4426123.11768659,TRUE
"51",0,"F3_50",0.379923742301033,"F1_25",1,285513.817164913,4426123.04582485,TRUE
"52",0,"F3_51",0.140234887022077,"F1_26",1,285514.861546062,4426123.05835305,TRUE
"53",0,"F3_52",0.0400810602449935,"F1_51",1,285509.175723975,4426122.90519369,TRUE
"54",0,"F3_53",0.106949843041745,"F1_27",1,285516.109192948,4426122.08588426,TRUE
"55",0,"F3_54",0.309088535097074,"F1_54",1,285506.704150642,4426122.09811392,TRUE
"56",0,"F3_55",0.11817796475247,"F1_28",1,285514.44360281,4426121.94020727,TRUE
"57",0,"F3_56",0.0569532472492624,"F1_55",1,285507.966100197,4426121.58129684,TRUE
"58",0,"F3_57",0.127542803579774,"F1_30",1,285513.787760148,4426120.96640175,TRUE
"59",0,"F3_58",0.0861741289252519,"F1_29",1,285516.397668852,4426120.92646459,TRUE
"60",0,"F3_59",0.214519005771653,"F1_57",1,285510.067606676,4426120.33366782,TRUE
"61",0,"F3_60",0.217976428037838,"F1_32",1,285516.29889621,4426119.97333115,TRUE
"62",0,"F3_61",0.148681288532656,"F1_58",1,285511.570998939,4426119.99168631,TRUE
"63",0,"F3_62",0.1014326528073,"F1_31",1,285513.035143663,4426120.01883916,TRUE
"64",0,"F3_63",0.168326755186305,"F1_33",1,285517.422918209,4426119.56444531,TRUE
"65",0,"F3_64",0.198742631597353,"F1_59",1,285509.276264369,4426119.28275318,TRUE
"66",0,"F3_65",0.0766960677673737,"F1_34",1,285515.637186279,4426119.2951963,TRUE
"67",0,"F3_66",0.0853227351296871,"F1_35",1,285513.886620205,4426118.95035335,TRUE
"68",0,"F3_67",0.123316262869225,"F1_62",1,285507.283060552,4426118.53184064,TRUE
"69",0,"F3_68",0.221834787543504,"F1_61",1,285509.609436771,4426118.4123141,TRUE
"70",0,"F3_69",0.0446231335309337,"F1_36",1,285514.922014728,4426118.38020166,TRUE
"71",0,"F3_70",0.231121730329354,"F1_60",1,285508.240265005,4426118.51033712,TRUE
"72",0,"F3_71",0.207682654278324,"F1_37",1,285516.958933155,4426118.31536298,TRUE
"73",0,"F3_72",0.0237057647803948,"F1_615",1,285506.333472754,4426118.25599918,TRUE
"74",0,"F3_73",0.252137378370121,"F1_63",1,285513.792354053,4426117.69058365,TRUE
"75",0,"F3_74",0.0274278806596144,"F1_64",1,285515.376003949,4426117.2986326,TRUE
"76",0,"F3_75",0.0786898872134818,"F1_65",1,285514.597553402,4426116.88030855,TRUE
"77",0,"F3_76",0.224979305117025,"F1_67",1,285513.360584022,4426116.39897373,TRUE
"78",0,"F3_77",0.159991290950602,"F1_95",1,285506.148510997,4426116.43304494,TRUE
"79",0,"F3_78",0.084623889495216,"F1_68",1,285515.584396985,4426115.78464228,TRUE
"80",0,"F3_79",0.218271222737573,"F1_69",1,285514.172481975,4426115.48512187,TRUE
"81",0,"F3_80",0.195250901240203,"F1_613",1,285506.841413944,4426115.32352945,TRUE
"82",0,"F3_81",0.161961265331351,"F1_71",1,285516.309429537,4426114.50634299,TRUE
"83",0,"F3_82",0.237895074662658,"F1_70",1,285515.072427417,4426114.34279207,TRUE
"84",0,"F3_83",0.171490945865811,"F1_96",1,285507.858021009,4426113.14961002,TRUE
"85",0,"F3_84",0.115412045910494,"F1_612",1,285515.116287195,4426112.98976316,TRUE
"86",0,"F3_85",0.04420972647525,"F1_80",1,285517.279397881,4426112.23599253,TRUE
"87",0,"F3_86",0.173963557169882,"F1_50",1,285506.103212841,4426122.83719013,TRUE
"88",0,"F3_87",0.16677275574141,"F1_52",1,285503.376548404,4426122.56903042,TRUE
"89",0,"F3_88",0.190870903869448,"F1_53",1,285504.750303806,4426122.27586756,TRUE
"90",0,"F3_89",0.240837956177657,"F1_618",1,285505.479267975,4426121.62106392,TRUE
"91",0,"F3_90",0.0672815547739791,"F1_56",1,285504.351290512,4426121.3687134,TRUE
"92",0,"F3_91",0.197492416832438,"F1_611",1,285518.748346608,4426111.94306693,TRUE
"93",0,"F3_92",0.126526568921593,"F1_81",1,285520.840298019,4426111.67627516,TRUE
"94",0,"F3_93",0.129938647905116,"F1_84",1,285519.650133635,4426111.28557122,TRUE
"95",0,"F3_94",0.191150632484131,"F1_86",1,285522.817244571,4426110.81036451,TRUE
"96",0,"F3_95",0.140171410716159,"F1_87",1,285521.591482647,4426110.69434725,TRUE
"97",0,"F3_96",0.170403736669133,"F1_609",1,285524.534054291,4426110.28735501,TRUE
"98",0,"F3_97",0.228239758032513,"F1_90",1,285520.313137725,4426110.123591,TRUE
"99",0,"F3_98",0.325388842956564,"F1_92",1,285521.524503975,4426109.41710267,TRUE
"100",0,"F3_99",0.102017731811484,"F1_97",1,285511.79887943,4426111.91123778,TRUE
"101",0,"F3_100",0.335169640021481,"F1_82",1,285517.594545883,4426111.57209401,TRUE
"102",0,"F3_101",0.285037240412245,"F1_83",1,285516.270901179,4426111.49442227,TRUE
"103",0,"F3_102",0.226094429525049,"F1_85",1,285514.83894841,4426111.06665719,TRUE
"104",0,"F3_103",0.195761740476889,"F1_88",1,285513.97283001,4426110.81426371,TRUE
"105",0,"F3_104",0.0755506883025493,"F1_630",1,285508.505508553,4426110.63816037,TRUE
"106",0,"F3_105",0.105502622079965,"F1_89",1,285516.948407725,4426110.64444891,TRUE
"107",0,"F3_106",0.0934863041320897,"F1_98",1,285510.890385632,4426110.42275546,TRUE
"108",0,"F3_107",0.104527939545756,"F1_99",1,285509.098576644,4426110.20674293,TRUE
"109",0,"F3_108",0.0863210512465369,"F1_91",1,285516.97871116,4426109.50447687,TRUE
"110",0,"F3_109",0.309247318354987,"F1_100",1,285507.630949339,4426109.21051524,TRUE
"111",0,"F3_110",0.0443861383646913,"F1_101",1,285511.210488261,4426109.28007249,TRUE
"112",0,"F3_111",0.257309882146846,"F1_102",1,285508.901377274,4426109.05732507,TRUE
"113",0,"F3_112",0.27170138132939,"F1_103",1,285510.369871475,4426108.62823017,TRUE
"114",0,"F3_113",0.389187900122769,"F1_104",1,285509.24749714,4426108.27181604,TRUE
"115",0,"F3_114",0.0803932433684831,"F1_105",1,285511.766286633,4426107.86416689,TRUE
"116",0,"F3_115",0.0238332993369762,"F1_106",1,285507.574609517,4426107.83813696,TRUE
"117",0,"F3_116",0.227054025847432,"F1_110",1,285507.971950165,4426106.81064637,TRUE
"118",0,"F3_117",0.242667788411589,"F1_108",1,285510.87186283,4426106.67997256,TRUE
"119",0,"F3_118",0.14006457657942,"F1_109",1,285509.241818658,4426106.65061832,TRUE
"120",0,"F3_119",0.156780638537465,"F1_111",1,285508.045337168,4426105.6616887,TRUE
"121",0,"F3_120",0.165610591319766,"F1_113",1,285507.085006757,4426105.66210966,TRUE
"122",0,"F3_121",0.173917090315094,"F1_112",1,285509.509152455,4426105.5123379,TRUE
"123",0,"F3_122",0.0457345166400867,"F1_115",1,285510.404895063,4426104.64632955,TRUE
"124",0,"F3_123",0.0344464971324932,"F1_114",1,285507.863550131,4426104.55684797,TRUE
"125",0,"F3_124",0.110811142787821,"F1_158",1,285508.793540225,4426103.92515516,TRUE
"126",0,"F3_125",0.224471516305409,"F1_159",1,285506.723288931,4426103.79073214,TRUE
"127",0,"F3_126",0.20296003229896,"F1_161",1,285507.684490167,4426103.28535966,TRUE
"128",0,"F3_127",0.171904245377147,"F1_607",1,285508.531679854,4426102.68180622,TRUE
"129",0,"F3_128",0.17606983984726,"F1_608",1,285509.273448994,4426102.20252777,TRUE
"130",0,"F3_129",0.150267735686224,"F1_163",1,285507.703838862,4426102.15566854,TRUE
"131",0,"F3_130",0.153989081812633,"F1_165",1,285510.26453639,4426101.26132886,TRUE
"132",0,"F3_131",0.0655585385316118,"F1_166",1,285510.736841704,4426100.70341527,TRUE
"133",0,"F3_132",0.13950774625608,"F1_160",1,285505.52786664,4426103.72570972,TRUE
"134",0,"F3_133",0.121625193958137,"F1_162",1,285505.298248241,4426102.7252912,TRUE
"135",0,"F3_134",0.284255033709343,"F1_164",1,285505.226999392,4426101.37881017,TRUE
"136",0,"F3_135",0.11383669357729,"F1_116",1,285521.09364994,4426098.56421516,TRUE
"137",0,"F3_136",0.190425716359901,"F1_117",1,285522.533610761,4426097.96181784,TRUE
"138",0,"F3_137",0.271851826014346,"F1_119",1,285519.117467272,4426097.72837671,TRUE
"139",0,"F3_138",0.240669255892134,"F1_120",1,285522.502277133,4426097.35302826,TRUE
"140",0,"F3_139",0.228476718664141,"F1_122",1,285523.449362864,4426097.10217394,TRUE
"141",0,"F3_140",0.0732932616041769,"F1_121",1,285520.682748994,4426097.2594373,TRUE
"142",0,"F3_141",0.48153180651304,"F1_123",1,285518.575653475,4426096.64967721,TRUE
"143",0,"F3_142",0.147754815559071,"F1_124",1,285519.864132932,4426096.37688165,TRUE
"144",0,"F3_143",0.304533811107364,"F1_125",1,285520.712647289,4426095.84919048,TRUE
"145",0,"F3_144",0.26714487888925,"F1_129",1,285523.2451446,4426095.25030392,TRUE
"146",0,"F3_145",0.104615404649236,"F1_130",1,285521.194463261,4426094.87413606,TRUE
"147",0,"F3_146",0.210185796387403,"F1_133",1,285522.36149211,4426094.12792947,TRUE
"148",0,"F3_147",0.122103417071821,"F1_137",1,285520.914069281,4426093.5640118,TRUE
"149",0,"F3_148",0.216599781154262,"F1_138",1,285522.131122085,4426093.01892446,TRUE
"150",0,"F3_149",0.201243085366671,"F1_141",1,285518.877633698,4426092.6194528,TRUE
"151",0,"F3_150",0.117838530725883,"F1_142",1,285517.812295906,4426092.42793099,TRUE
"152",0,"F3_151",0.104868616766681,"F1_144",1,285519.660871912,4426092.33057253,TRUE
"153",0,"F3_152",0.213547936934117,"F1_143",1,285521.806048663,4426092.11431459,TRUE
"154",0,"F3_153",0.283360629270079,"F1_149",1,285522.751135825,4426091.62766964,TRUE
"155",0,"F3_154",0.361225774001264,"F1_151",1,285518.274023142,4426091.39183892,TRUE
"156",0,"F3_155",0.254843473533298,"F1_150",1,285521.255687105,4426091.47504557,TRUE
"157",0,"F3_156",0.443547696145505,"F1_603",1,285520.314462864,4426090.95621419,TRUE
"158",0,"F3_157",0.219850652015027,"F1_155",1,285519.385016393,4426090.71202567,TRUE
"159",0,"F3_158",0.122150538001794,"F1_154",1,285518.137387579,4426090.5637275,TRUE
"160",0,"F3_159",0.249721370024176,"F1_157",1,285521.601805547,4426090.35968534,TRUE
"161",0,"F3_160",0.0777711138123951,"F1_220",1,285522.869341062,4426090.14504857,TRUE
"162",0,"F3_161",0.260812717274325,"F1_221",1,285518.485193317,4426089.81545892,TRUE
"163",0,"F3_162",0.322592696803565,"F1_167",1,285509.806853703,4426100.14467102,TRUE
"164",0,"F3_163",0.0589437410900985,"F1_168",1,285508.938828649,4426099.8370942,TRUE
"165",0,"F3_164",1.83388818489008,"F1_170",0,285506.34160684,4426099.67903558,TRUE
"166",0,"F3_165",0.198072754726356,"F1_169",1,285509.702740027,4426099.20404494,TRUE
"167",0,"F3_166",0.159414206383778,"F1_170",1,285508.008211783,4426099.14888148,TRUE
"168",0,"F3_167",0.170154296013732,"F1_171",1,285510.5617246,4426099.08172923,TRUE
"169",0,"F3_168",0.203775980899059,"F1_172",1,285508.820882543,4426098.44839566,TRUE
"170",0,"F3_169",0.105858254797853,"F1_173",1,285510.21895042,4426098.16574087,TRUE
"171",0,"F3_170",0.359198455162944,"F1_174",1,285509.25087152,4426097.49949311,TRUE
"172",0,"F3_171",0.203526328565564,"F1_176",1,285510.294075352,4426097.22790725,TRUE
"173",0,"F3_172",0.23932574902602,"F1_178",1,285509.312180642,4426096.52678475,TRUE
"174",0,"F3_173",0.240282586179713,"F1_180",1,285512.26934613,4426096.39525831,TRUE
"175",0,"F3_174",0.114281315386993,"F1_182",1,285508.680248234,4426096.26812808,TRUE
"176",0,"F3_175",0.260015457878321,"F1_179",1,285511.253626442,4426096.18439026,TRUE
"177",0,"F3_176",0.0165463351169558,"F1_181",1,285506.469970865,4426096.20666101,TRUE
"178",0,"F3_177",0.304448226468328,"F1_183",1,285510.000016644,4426095.94707098,TRUE
