"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"440",761,0,"F4_439",0.204207224896148,"F1_827",1,285746.6454,4425641.1068,TRUE
"441",762,0,"F4_440",0.122817844423526,"F1_343",1,285748.182,4425641.0507,TRUE
"442",763,0,"F4_441",0.134519984080628,"F1_834",1,285750.8032,4425640.8011,TRUE
"443",764,0,"F4_442",0.131463297837487,"F1_330",1,285755.1792,4425635.0001,TRUE
"444",765,0,"F4_443",0.152333955274624,"F1_845",1,285756.6371,4425634.1818,TRUE
"445",766,0,"F4_444",0.240261198235806,"F1_846",1,285756.2398,4425632.5971,TRUE
"446",767,0,"F4_445",0.324916052264076,"F1_335",1,285754.5951,4425632.7013,TRUE
"447",768,0,"F4_446",0.0282533192134794,"F1_849",1,285758.5058,4425630.1782,TRUE
"448",769,0,"F4_447",0.0911571777694686,"F1_364",1,285759.7174,4425628.4378,TRUE
"449",770,0,"F4_448",0.103114966613325,"F1_852",1,285759.1365,4425627.0531,TRUE
"450",771,0,"F4_449",0.0880297800035435,"F1_351",1,285770.3934,4425621.2103,TRUE
"451",772,0,"F4_450",0.0201298480356504,"F1_352",1,285769.4014,4425620.941,TRUE
"452",773,0,"F4_451",0.0939863074315388,"F1_358",1,285769.5324,4425619.1562,TRUE
"453",774,0,"F4_452",0.0316105443946534,"F1_862",1,285771.6441,4425618.3725,TRUE
"454",775,0,"F4_453",0.189670872138859,"F1_863",1,285770.7471,4425617.4332,TRUE
"455",776,0,"F4_454",0.0269190346867286,"F1_864",1,285771.8175,4425617.2836,TRUE
"456",777,0,"F4_455",0.0892625785485518,"F1_359",1,285769.4472,4425617.1579,TRUE
"457",778,0,"F4_456",0.0497542868393304,"F1_366",1,285763.8475,4425624.6609,TRUE
"458",779,0,"F4_457",0.122080022880243,"F1_347",1,285764.964,4425624.2633,TRUE
"459",780,0,"F4_458",0.0840102010236143,"F1_348",1,285766.149,4425623.6748,TRUE
"460",781,0,"F4_459",0.158271935482682,"F1_859",1,285764.41,4425623.4121,TRUE
"461",782,0,"F4_460",0.0604245786548767,"F1_349",1,285768.2251,4425622.5372,TRUE
"462",783,0,"F4_461",0.0445163599107713,"F1_350",1,285768.5437,4425621.3999,TRUE
"463",784,0,"F4_462",0.06639527207715,"F1_353",1,285766.3761,4425620.6752,TRUE
"464",785,0,"F4_463",0.0346539680803298,"F1_354",1,285767.5776,4425620.6018,TRUE
"465",786,0,"F4_464",0.0423553648383267,"F1_356",1,285765.8859,4425619.5951,TRUE
"466",787,0,"F4_465",0.0975021995915478,"F1_860",1,285767.2793,4425618.4997,TRUE
"467",788,0,"F4_466",0.955053873150096,"F1_359",0,285768.4317,4425617.3978,TRUE
