"","CLASS_ID","Flight","UFID","dist","nnid","Nesting","observed","coords.x1","coords.x2","optional"
"742",0,"F4_","F4_743",0.192306193741657,"F1_465",1,1,285522.307335583,4425392.79973989,TRUE
"743",0,"F4_","F4_744",0.124052975851258,"F1_806",1,1,285521.989834949,4425393.66757496,TRUE
"744",0,"F4_","F4_745",0.171092780424212,"F1_459",1,1,285521.471250577,4425394.62007686,TRUE
"745",0,"F4_","F4_746",0.198941906544121,"F1_461",1,1,285520.783332535,4425393.95332553,TRUE
"746",0,"F4_","F4_747",0.0264586188746975,"F1_456",1,1,285521.841667984,4425395.50907864,TRUE
"747",0,"F4_","F4_748",0.114740237259902,"F1_457",1,1,285522.984670271,4425395.29741155,TRUE
"748",0,"F4_","F4_749",0.163005397690832,"F1_458",1,1,285522.519002671,4425394.26024281,TRUE
"749",0,"F4_","F4_750",0.208484424504462,"F1_460",1,1,285523.52442135,4425394.48249326,TRUE
"750",0,"F4_","F4_751",0.0950430928249398,"F1_463",1,1,285523.492671287,4425393.38182439,TRUE
"751",0,"F4_","F4_752",0.198690345927056,"F1_462",1,1,285524.730923765,4425393.87924205,TRUE
"752",0,"F4_","F4_753",0.125187927064847,"F1_455",1,1,285524.117089202,4425395.6360789,TRUE
"753",0,"F4_","F4_754",0.195535300769049,"F1_468",1,1,285524.445173191,4425392.30232223,TRUE
"754",0,"F4_","F4_755",0.0690897918861792,"F1_807",1,1,285523.037587043,4425391.96365488,TRUE
"755",0,"F4_","F4_756",0.172720957519301,"F1_630",1,1,285522.88942008,4425391.09581982,TRUE
"756",0,"F4_","F4_757",1.1810636427271,"F1_637",0,0,285523.027003687,4425389.48714993,TRUE
"757",0,"F4_","F4_758",0.169534498279674,"F1_637",1,1,285524.18058933,4425390.11156785,TRUE
"758",0,"F4_","F4_759",0.203625265050397,"F1_634",1,1,285525.471758578,4425390.45023519,TRUE
"759",0,"F4_","F4_760",0.154224040892314,"F1_641",1,1,285524.847340663,4425389.36014968,TRUE
"760",0,"F4_","F4_761",0.224361488398105,"F1_629",1,1,285525.260091487,4425391.39215374,TRUE
"761",0,"F4_","F4_762",0.126768691384777,"F1_466",1,1,285525.778675858,4425392.69390634,TRUE
"762",0,"F4_","F4_763",0.187841640557914,"F1_835",1,1,285526.25492681,4425391.08523646,TRUE
"763",0,"F4_","F4_764",0.0830393371055204,"F1_635",1,1,285527.609596185,4425390.28090152,TRUE
"764",0,"F4_","F4_765",0.198354999272509,"F1_639",1,1,285526.688844346,4425389.52948335,TRUE
"765",0,"F4_","F4_766",0.189848829264617,"F1_640",1,1,285527.874180049,4425389.24373278,TRUE
"766",0,"F4_","F4_767",0.209794107884243,"F1_645",1,1,285526.88992808,4425388.11131385,TRUE
"767",0,"F4_","F4_768",0.202865442392421,"F1_844",1,1,285525.821009278,4425386.9365615,TRUE
"768",0,"F4_","F4_769",0.241051104950015,"F1_648",1,1,285524.15942262,4425386.95772821,TRUE
"769",0,"F4_","F4_770",0.139016346505286,"F1_653",1,1,285523.958338885,4425385.5395587,TRUE
"770",0,"F4_","F4_771",0.191677246962602,"F1_832",1,1,285522.487252609,4425386.08989314,TRUE
"771",0,"F4_","F4_772",0.129235374288709,"F1_831",1,1,285520.719832407,4425385.81472592,TRUE
"772",0,"F4_","F4_773",0.0210195890961042,"F1_655",1,1,285521.492417284,4425384.89397408,TRUE
"773",0,"F4_","F4_774",0.211537557514457,"F1_838",1,1,285521.365417032,4425384.01555565,TRUE
"774",0,"F4_","F4_775",0.10760656041894,"F1_808",1,1,285523.979946567,4425390.88238883,TRUE
"775",0,"F4_","F4_776",0.187099684172448,"F1_632",1,1,285528.742456091,4425390.5172631,TRUE
"776",0,"F4_","F4_777",0.170471655589865,"F1_605",1,1,285531.129002531,4425390.01455376,TRUE
"777",0,"F4_","F4_778",0.124266400611417,"F1_643",1,1,285529.615582839,4425388.46938401,TRUE
"778",0,"F4_","F4_779",0.158579250890717,"F1_611",1,1,285530.758585125,4425388.08838325,TRUE
"779",0,"F4_","F4_780",0.163577559054947,"F1_843",1,1,285530.102417145,4425387.49571539,TRUE
"780",0,"F4_","F4_781",0.180920510517653,"F1_842",1,1,285528.398497069,4425388.10954995,TRUE
"781",0,"F4_","F4_782",0.122881011900338,"F1_650",1,1,285528.663080933,4425386.61729697,TRUE
"782",0,"F4_","F4_783",0.252829753278209,"F1_839",1,1,285526.70516035,4425386.15162937,TRUE
"783",0,"F4_","F4_784",0.427611664995736,"F1_839",0,0,285527.022660986,4425385.61187829,TRUE
"784",0,"F4_","F4_785",0.251241450069435,"F1_654",1,1,285527.816412572,4425385.45312797,TRUE
"785",0,"F4_","F4_786",0.243392566519681,"F1_656",1,1,285526.82157725,4425384.50062607,TRUE
"786",0,"F4_","F4_787",0.057365993608547,"F1_660",1,1,285527.869329347,4425383.95029164,TRUE
"787",0,"F4_","F4_788",0.143901529374019,"F1_657",1,1,285529.192248659,4425384.22545885,TRUE
"788",0,"F4_","F4_789",0.297388505975258,"F1_652",1,1,285524.831906604,4425386.01051798,TRUE
"789",0,"F4_","F4_790",0.171204248913518,"F1_662",1,1,285525.056802887,4425383.45066911,TRUE
"790",0,"F4_","F4_791",0.137374150143854,"F1_612",1,1,285532.189983818,4425387.77661526,TRUE
"791",0,"F4_","F4_792",0.16301339493965,"F1_620",1,1,285532.335504944,4425385.56734001,TRUE
"792",0,"F4_","F4_793",0.165193855911806,"F1_625",1,1,285532.547172034,4425384.32379586,TRUE
