PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,TSS,nestimate,colony,flight,Method,Method1,Method2,Observed,Method3,PctError,DisttoColony,Angle,RMSE,NSSDA,Per_Cover,maxRMSE
0.997429306,0.001816585,0.983213222,0.011853107,0.99719888,0.001979302,1,0,0.99859944,0.000989651,0.99719888,712,afisseast,f1f4f3,Triple,ThreeDay,na,714,UAS,0.280112045,na,na,na,na,12.42645257,0.204666815
0.997319035,0.001894456,0.968295793,0.022376934,0.99719888,0.001979302,1,0,0.99859944,0.000989651,0.99719888,712,afisseast,f3f4f1,Triple,ThreeDay,na,714,UAS,0.280112045,na,na,na,na,12.42645257,0.204666815
0.997319035,0.001894456,0.968295793,0.022376934,0.99719888,0.001979302,1,0,0.99859944,0.000989651,0.99719888,712,afisseast,f3f1f4,Triple,ThreeDay,na,714,UAS,0.280112045,na,na,na,na,12.42645257,0.204666815
0.997371879,0.001857139,0.977764792,0.01569811,0.99719888,0.001979302,1,0,0.99859944,0.000989651,0.99719888,712,afisseast,f4f1f3,Triple,ThreeDay,na,714,UAS,0.280112045,na,na,na,na,12.42645257,0.204666815
0.997371879,0.001857139,0.977764792,0.01569811,0.99719888,0.001979302,1,0,0.99859944,0.000989651,0.99719888,712,afisseast,f4f3f1,Triple,ThreeDay,na,714,UAS,0.280112045,na,na,na,na,12.42645257,0.204666815
1,0,1,0,1,0,1,0,1,0,1,617,d,f1f3f4,Triple,ThreeDay,na,617,UAS,0,na,na,na,na,11.38994314,0.364298635
1,0,1,0,1,0,1,0,1,0,1,617,d,f1f4f3,Triple,ThreeDay,na,617,UAS,0,na,na,na,na,11.38994314,0.364298635
1,0,1,0,1,0,1,0,1,0,1,617,d,f3f4f1,Triple,ThreeDay,na,617,UAS,0,na,na,na,na,11.38994314,0.364298635
1,0,1,0,1,0,1,0,1,0,1,617,d,f3f1f4,Triple,ThreeDay,na,617,UAS,0,na,na,na,na,11.38994314,0.364298635
1,0,1,0,1,0,1,0,1,0,1,617,d,f4f1f3,Triple,ThreeDay,na,617,UAS,0,na,na,na,na,11.38994314,0.364298635
1,0,1,0,1,0,1,0,1,0,1,617,d,f4f3f1,Triple,ThreeDay,na,617,UAS,0,na,na,na,na,11.38994314,0.364298635
0.99904489,0.00095511,0.982559592,0.017429426,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f1f3f4,Triple,ThreeDay,na,1018,UAS,0.098231827,na,na,na,na,9.982454326,0.257637416
0.99904489,0.00095511,0.982559592,0.017429426,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f1f4f3,Triple,ThreeDay,na,1018,UAS,0.098231827,na,na,na,na,9.982454326,0.257637416
0.99903568,0.00096432,0.973867903,0.026110574,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f3f4f1,Triple,ThreeDay,na,1018,UAS,0.098231827,na,na,na,na,9.982454326,0.257637416
0.99903568,0.00096432,0.973867903,0.026110574,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f3f1f4,Triple,ThreeDay,na,1018,UAS,0.098231827,na,na,na,na,9.982454326,0.257637416
0.99904489,0.00095511,0.982559592,0.017429426,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f4f1f3,Triple,ThreeDay,na,1018,UAS,0.098231827,na,na,na,na,9.982454326,0.257637416
0.99904489,0.00095511,0.982559592,0.017429426,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f4f3f1,Triple,ThreeDay,na,1018,UAS,0.098231827,na,na,na,na,9.982454326,0.257637416
1,0,1,0,1,0,1,0,1,0,1,617,d,f1f3,Double,AcrossDay,na,617,UAS,0,na,na,0.210479914,0.364298635,11.38994314,na
1,0,1,0,1,0,1,0,1,0,1,617,d,f1f4,Double,AcrossDay,na,617,UAS,0,na,na,0.191911658,0.332160698,11.38994314,na
1,0,1,0,1,0,1,0,1,0,1,617,d,f4f1,Double,AcrossDay,na,617,UAS,0,na,na,0.191911658,0.332160698,11.38994314,na
1,0,1,0,1,0,1,0,1,0,1,617,d,f4f3,Double,SameDay,na,617,UAS,0,na,na,0.142740721,0.24705564,11.38994314,na
1,0,1,0,1,0,1,0,1,0,1,617,d,f3f1,Double,AcrossDay,na,617,UAS,0,na,na,0.210479914,0.364298635,11.38994314,na
1,0,1,0,1,0,1,0,1,0,1,617,d,f3f4,Double,SameDay,na,617,UAS,0,na,na,0.142740721,0.24705564,11.38994314,na
0.99904489,0.00095511,0.982559592,0.017429426,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f1f3,Double,AcrossDay,na,1018,UAS,0.098231827,na,na,0.145113131,0.251161807,9.982454326,na
0.99808978,0.001350083,0.963305646,0.025904575,1,0,0.931034483,0.047887247,0.965517241,0.023943623,0.931034483,1020,sslope,f1f4,Double,AcrossDay,na,1018,UAS,0.196463654,na,na,0.148854527,0.257637416,9.982454326,na
0.99808978,0.001350083,0.963305646,0.025904575,1,0,0.931034483,0.047887247,0.965517241,0.023943623,0.931034483,1020,sslope,f4f1,Double,AcrossDay,na,1018,UAS,0.196463654,na,na,0.148854527,0.257637416,9.982454326,na
0.996179561,0.001907478,0.923976184,0.037829432,1,0,0.862068966,0.065166288,0.931034483,0.032583144,0.862068966,1022,sslope,f4f3,Double,SameDay,na,1018,UAS,0.392927308,na,na,0.102025641,0.17658598,9.982454326,na
0.99903568,0.00096432,0.973867903,0.026110574,0.999017682,0.000982318,1,0,0.999508841,0.000491159,0.999017682,1017,sslope,f3f1,Double,AcrossDay,na,1018,UAS,0.098231827,na,na,0.145113131,0.251161807,9.982454326,na
0.996142719,0.001925846,0.880419742,0.05924651,1,0,0.789473684,0.096091677,0.894736842,0.048045838,0.789473684,1022,sslope,f3f4,Double,SameDay,na,1018,UAS,0.392927308,na,na,0.102025641,0.17658598,9.982454326,na
0.98820059,0.002933479,0.918158568,0.020275541,0.999195495,0.000804505,0.867256637,0.032060568,0.933226066,0.01603533,0.866452132,1257,amushfiss,f1f3,Double,AcrossDay,na,1243,UAS,1.126307321,na,na,0.13385166,0.231670453,17.05412975,na
0.989675516,0.002746066,0.928388747,0.018990974,1,0,0.876106195,0.031131078,0.938053097,0.015565539,0.876106195,1257,amushfiss,f1f4,Double,AcrossDay,na,1243,UAS,1.126307321,na,na,0.125546901,0.217296577,17.05412975,na
0.989321129,0.002839852,0.879723194,0.031741117,1,0,0.794117647,0.049398594,0.897058824,0.024699297,0.794117647,1257,amushfiss,f4f1,Double,AcrossDay,na,1243,UAS,1.126307321,na,na,0.125546901,0.217296577,17.05412975,na
0.990846682,0.002631218,0.898469164,0.029024215,1,0,0.823529412,0.046573441,0.911764706,0.02328672,0.823529412,1255,amushfiss,f4f3,Double,SameDay,na,1243,UAS,0.965406275,na,na,0.105149575,0.181992885,17.05412975,na
0.986206897,0.003229804,0.829285309,0.039407762,0.99839099,0.001137284,0.741935484,0.056025056,0.870163237,0.028018299,0.740326473,1257,amushfiss,f3f1,Double,AcrossDay,na,1243,UAS,1.126307321,na,na,0.13385166,0.231670453,17.05412975,na
0.990804598,0.002643264,0.888110889,0.031948873,1,0,0.806451613,0.050584681,0.903225806,0.025292341,0.806451613,1255,amushfiss,f3f4,Double,SameDay,na,1243,UAS,0.965406275,na,na,0.105149575,0.181992885,17.05412975,na
0.992287918,0.003138298,0.946646551,0.021666398,1,0,0.90625,0.036723103,0.953125,0.018361552,0.90625,720,afisseast,f1f3,Double,AcrossDay,na,714,UAS,0.840336134,na,na,0.204666815,0.354237323,12.42645257,na
0.985861183,0.004235493,0.899955577,0.029813822,0.99859944,0.00140056,0.84375,0.045745316,0.92117472,0.022883376,0.84234944,723,afisseast,f1f4,Double,AcrossDay,na,714,UAS,1.260504202,na,na,0.178250746,0.308516392,12.42645257,na
0.988173456,0.003921378,0.887928919,0.036901522,1,0,0.808510638,0.058014463,0.904255319,0.029007232,0.808510638,723,afisseast,f4f1,Double,AcrossDay,na,714,UAS,1.260504202,na,na,0.178250746,0.308516392,12.42645257,na
0.993429698,0.002930586,0.941564924,0.026008724,0.99859944,0.00140056,0.914893617,0.041142194,0.956746528,0.020583013,0.913493057,717,afisseast,f4f3,Double,SameDay,na,714,UAS,0.420168067,na,na,0.142755536,0.247081281,12.42645257,na
0.991957105,0.003272461,0.892414191,0.043490834,1,0,0.8125,0.070102172,0.90625,0.035051086,0.8125,720,afisseast,f3f1,Double,AcrossDay,na,714,UAS,0.840336134,na,na,0.204666815,0.354237323,12.42645257,na
0.995978552,0.002318665,0.948728522,0.029503166,1,0,0.90625,0.05235146,0.953125,0.02617573,0.90625,717,afisseast,f3f4,Double,SameDay,na,714,UAS,0.420168067,na,na,0.142755536,0.247081281,12.42645257,na
0.934831461,0.008278178,0.810729947,0.023594616,1,0,0.741071429,0.02933375,0.870535714,0.014666875,0.741071429,724,arocksmush,f1f3,Double,AcrossDay,na,666,UAS,8.708708709,na,na,0.144305979,0.249764788,18.27469731,na
0.961797753,0.006428882,0.893202513,0.017859632,1,0,0.848214286,0.0240279,0.924107143,0.01201395,0.848214286,700,arocksmush,f1f4,Double,AcrossDay,na,666,UAS,5.105105105,na,na,0.072910255,0.126193069,18.27469731,na
0.955145119,0.007523009,0.749854409,0.040593533,1,0,0.630434783,0.050599349,0.815217391,0.025299675,0.630434783,700,arocksmush,f4f1,Double,AcrossDay,na,666,UAS,5.105105105,na,na,0.072910255,0.126193069,18.27469731,na
0.95646438,0.007416668,0.758556785,0.039888703,1,0,0.641304348,0.05027759,0.820652174,0.025138795,0.641304348,699,arocksmush,f4f3,Double,SameDay,na,666,UAS,4.954954955,na,na,0.128615752,0.222608144,18.27469731,na
0.926952141,0.009240507,0.669385176,0.03944584,1,0,0.546875,0.044172419,0.7734375,0.02208621,0.546875,724,arocksmush,f3f1,Double,AcrossDay,na,666,UAS,8.708708709,na,na,0.144305979,0.249764788,18.27469731,na
0.958438287,0.007087486,0.828455827,0.028801499,1,0,0.7421875,0.038815657,0.87109375,0.019407829,0.7421875,699,arocksmush,f3f4,Double,SameDay,na,666,UAS,4.721030043,na,na,0.128615752,0.222608144,18.27469731,na
0.742696629,0.014661472,0.149310048,0.034283758,0.927927928,0.010028357,0.191964286,0.026373822,0.559946107,0.014108033,0.119892214,799,arocksmush,f1,Single,Single,na,666,UAS,19.96996997,na,na,0.144305979,0.249764788,18.27469731,na
0.789672544,0.014472212,0.131882521,0.042121206,0.899399399,0.01166449,0.21875,0.036683198,0.5590747,0.019246541,0.118149399,699,arocksmush,f3,Single,Single,na,666,UAS,4.954954955,na,na,0.072910255,0.126193069,18.27469731,na
0.836411609,0.013444304,0.218348746,0.048683161,0.90990991,0.011102656,0.304347826,0.0482348,0.607128868,0.024748055,0.214257736,670,arocksmush,f4,Single,Single,na,666,UAS,0.600600601,na,na,0.072910255,0.126193069,18.27469731,na
0.88688946,0.011362549,0.154681944,0.054059656,0.949579832,0.008194512,0.1875,0.049174737,0.568539916,0.024926416,0.137079832,730,afisseast,f1,Single,Single,na,714,UAS,2.240896359,na,na,0.142755536,0.247081281,12.42645257,na
0.927613941,0.009493644,0.190889371,0.068693224,0.957983193,0.007513559,0.25,0.077771377,0.603991597,0.03906674,0.207983193,708,afisseast,f3,Single,Single,na,714,UAS,0.840336134,na,na,0.204666815,0.354237323,12.42645257,na
0.91195795,0.010278404,0.183515621,0.062145781,0.957983193,0.007513559,0.212765957,0.06034261,0.585374575,0.030404293,0.170749151,721,afisseast,f4,Single,Single,na,714,UAS,0.980392157,na,na,0.142755536,0.247081281,12.42645257,na
0.896755162,0.008266115,0.17888563,0.042903087,0.961383749,0.005467297,0.185840708,0.036754973,0.573612228,0.018579689,0.147224457,1287,amushfiss,f1,Single,Single,na,1243,UAS,3.539823009,na,na,0.105149575,0.181992885,17.05412975,na
0.918773946,0.007565075,0.178094401,0.048935363,0.952534191,0.006033509,0.241935484,0.054832488,0.597234838,0.027581719,0.194469675,1231,amushfiss,f3,Single,Single,na,1243,UAS,0.965406275,na,na,0.13385166,0.231670453,17.05412975,na
0.914569031,0.007722897,0.119173595,0.044757981,0.955752212,0.005835225,0.161764706,0.044987044,0.558758459,0.022681953,0.117516918,1245,amushfiss,f4,Single,Single,na,1243,UAS,0.160901046,na,na,0.105149575,0.181992885,17.05412975,na
0.961904762,0.007632663,0.275653924,0.103341516,0.974068071,0.006403563,0.384615385,0.140441681,0.679341728,0.070293797,0.358683456,609,d,f1,Single,Single,na,617,UAS,1.296596434,na,na,0.142740721,0.24705564,11.38994314,na
0.963258786,0.00752503,0.288143973,0.104378477,0.969205835,0.006960683,0.555555556,0.175682092,0.762380695,0.087909966,0.52476139,602,d,f3,Single,Single,na,617,UAS,2.431118314,na,na,0.210479914,0.364298635,11.38994314,na
0.953525641,0.008433908,0.047979798,0.061173635,0.962722853,0.00763276,0.142857143,0.142857143,0.552789998,0.071530452,0.105579995,600,d,f4,Single,Single,na,617,UAS,2.755267423,na,na,0.142740721,0.24705564,11.38994314,na
0.951289398,0.00665583,0.138910838,0.065327363,0.973477407,0.005038607,0.172413793,0.071386092,0.5729456,0.035781845,0.1458912,1015,sslope,f1,Single,Single,na,1018,UAS,0.294695481,na,na,0.145113131,0.251161807,9.982454326,na
0.960462874,0.006054286,0.108190876,0.067341013,0.975442043,0.004853291,0.157894737,0.085947009,0.56666839,0.043041964,0.13333678,1009,sslope,f3,Single,Single,na,1018,UAS,0.884086444,na,na,0.148854527,0.257637416,9.982454326,na
0.953199618,0.006530565,0.172679041,0.06952142,0.974459725,0.004946913,0.206896552,0.076553056,0.590678138,0.038356363,0.181356277,1015,sslope,f4,Single,Single,na,1018,UAS,0.294695481,na,na,0.148854527,0.257637416,9.982454326,na
