PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,TSS,nestimate,colony,flight,Method,Method1,Method2,Observed,Method3,PctError,DisttoColony,Angle,RMSE,NSSDA,Per_Cover,maxRMSE
0.987951807,0.012048193,0.940586972,0.058949714,1,0,0.9,0.1,0.95,0.05,0.9,74,bsouth,f4f3,Double,SameDay,na,73,UAS,1.369863014,na,na,0.08464723,0.14650742,2.363570578,na
0.986842105,0.013157895,0.793478261,0.200735739,1,0,0.666666667,0.333333333,0.833333333,0.166666667,0.666666667,74,bsouth,f3f1,Double,AcrossDay,na,73,UAS,1.369863014,na,na,0.20286694,0.3511221,2.363570578,na
0.986842105,0.013157895,0.793478261,0.200735739,1,0,0.666666667,0.333333333,0.833333333,0.166666667,0.666666667,74,bsouth,f3f4,Double,SameDay,na,73,UAS,1.369863014,na,na,0.08464723,0.14650742,2.363570578,na
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f1f3,Double,AcrossDay,na,327,UAS,0,na,na,0.05384301,0.09319149,10.36201074,na
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f1f4,Double,AcrossDay,na,327,UAS,0,na,na,0.09486065,0.16418481,10.36201074,na
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f4f1,Double,AcrossDay,na,327,UAS,0,na,na,0.09486065,0.16418481,10.36201074,na
0.996978852,0.003021148,0.855647623,0.142624546,1,0,0.75,0.25,0.875,0.125,0.75,328,bnorth,f4f3,Double,SameDay,na,327,UAS,0.305810398,na,na,0.11240223,0.19454579,10.36201074,na
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f3f1,Double,AcrossDay,na,327,UAS,0,na,na,0.05384301,0.09319149,10.36201074,na
0.997005988,0.002994012,0.921559418,0.078081739,1,0,0.857142857,0.142857143,0.928571429,0.071428571,0.857142857,328,bnorth,f3f4,Double,SameDay,na,327,UAS,0.305810398,na,na,0.11240223,0.19454579,10.36201074,na
1,0,1,0,1,0,1,0,1,0,1,849,saddle,f1f3,Double,AcrossDay,na,849,UAS,0,na,na,0.28304801,0.4898995,5.510920438,na
1,0,1,0,1,0,1,0,1,0,1,849,saddle,f1f4,Double,AcrossDay,na,849,UAS,0,na,na,0.09486065,0.16418481,5.510920438,na
1,0,1,0,1,0,1,0,1,0,1,849,saddle,f4f1,Double,AcrossDay,na,849,UAS,0,na,na,0.09486065,0.16418481,5.510920438,na
0.996515679,0.002009333,0.867802856,0.075551766,0.998822144,0.001177856,0.833333333,0.112366644,0.916077739,0.056186408,0.832155477,850,saddle,f4f3,Double,SameDay,na,849,UAS,0.11778563,na,na,0.47490291,0.82196196,5.510920438,na
1,0,1,0,1,0,1,0,1,0,1,849,saddle,f3f1,Double,AcrossDay,na,849,UAS,0,na,na,0.28304801,0.4898995,5.510920438,na
0.998834499,0.001165501,0.940589946,0.059270546,1,0,0.888888889,0.111111111,0.944444444,0.055555556,0.888888889,850,saddle,f3f4,Double,SameDay,na,849,UAS,0.11778563,na,na,0.47490291,0.82196196,5.510920438,na
0.993059263,0.001918834,0.883398859,0.032020052,0.998895638,0.000780686,0.822580645,0.048913059,0.910738141,0.024459644,0.821476283,1820,bluffn,f1f3,Double,AcrossDay,na,1811,UAS,0.496963004,na,na,0.2984558,0.51656729,4.311072871,na
