"","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",0,"F3_","F3_0",0.315684040305193,"F1_1",1,285241.22414754,4426055.97588419,TRUE
"2",0,"F3_","F3_1",0.114236632244461,"F1_2",1,285240.334571877,4426055.66058481,TRUE
"3",0,"F3_","F3_2",0.300514841212434,"F1_26",1,285246.379919275,4426046.82252029,TRUE
"4",0,"F3_","F3_3",0.333370107029493,"F1_28",1,285245.340389267,4426046.31934096,TRUE
"5",0,"F3_","F3_4",0.252065118791423,"F1_32",1,285246.66301085,4426045.69591266,TRUE
"6",0,"F3_","F3_5",0.102471005782885,"F1_41",1,285244.306371189,4426042.80138013,TRUE
"7",0,"F3_","F3_6",0.324410952440503,"F1_3",1,285239.686771475,4426055.10276963,TRUE
"8",0,"F3_","F3_7",0.290827438525311,"F1_4",1,285241.836004774,4426054.86657715,TRUE
"9",0,"F3_","F3_8",0.123686111029744,"F1_6",1,285238.459156027,4426054.51630182,TRUE
"10",0,"F3_","F3_9",0.0940608941712613,"F1_5",1,285240.40077225,4426054.59065683,TRUE
"11",0,"F3_","F3_10",0.128807264199292,"F1_7",1,285242.445952705,4426054.30774482,TRUE
"12",0,"F3_","F3_11",0.213601670480453,"F1_8",1,285237.840507798,4426054.07519362,TRUE
"13",0,"F3_","F3_12",0.0958866981855016,"F1_9",1,285243.581010627,4426053.57971872,TRUE
"14",0,"F3_","F3_13",0.376323542040265,"F1_11",1,285237.987155164,4426053.40146154,TRUE
"15",0,"F3_","F3_14",0.267265683016085,"F1_10",1,285241.292519855,4426053.44097233,TRUE
"16",0,"F3_","F3_15",0.0616564613295077,"F1_12",1,285238.409716197,4426052.26242907,TRUE
"17",0,"F3_","F3_16",0.097610686583281,"F1_13",1,285239.123753945,4426051.46022837,TRUE
"18",0,"F3_","F3_17",0.130526333182248,"F1_14",1,285239.936503364,4426050.7726268,TRUE
"19",0,"F3_","F3_18",0.0574249999893454,"F1_23",1,285245.004121983,4426047.2510986,TRUE
"20",0,"F3_","F3_19",0.0830329840737738,"F1_25",1,285241.630576373,4426046.96169581,TRUE
"21",0,"F3_","F3_20",0.146582891881415,"F1_24",1,285243.745103975,4426047.06666766,TRUE
"22",0,"F3_","F3_21",0.129869127247692,"F1_27",1,285242.608134808,4426046.83038093,TRUE
"23",0,"F3_","F3_22",0.275719708346847,"F1_29",1,285244.255345549,4426046.11351419,TRUE
"24",0,"F3_","F3_23",0.154553667844997,"F1_30",1,285240.527163667,4426045.70485796,TRUE
"25",0,"F3_","F3_24",0.296392970615393,"F1_31",1,285243.256235169,4426045.6731997,TRUE
"26",0,"F3_","F3_25",0.289611180232944,"F1_33",1,285241.559276516,4426045.46349477,TRUE
"27",0,"F3_","F3_26",0.355795910167819,"F1_35",1,285244.073927725,4426044.80351975,TRUE
"28",0,"F3_","F3_27",0.109374577500992,"F1_36",1,285243.056437686,4426044.06801497,TRUE
"29",0,"F3_","F3_28",0.28798950319966,"F1_22",1,285257.645068842,4426035.49432062,TRUE
"30",0,"F3_","F3_29",0.274279698883845,"F1_37",1,285245.896800573,4426043.53546424,TRUE
"31",0,"F3_","F3_30",0.202728326109482,"F1_40",1,285245.869856475,4426042.87920267,TRUE
"32",0,"F3_","F3_31",0.242925768273568,"F1_831",1,285246.184167542,4426041.65867428,TRUE
"33",0,"F3_","F3_32",0.363584813768807,"F1_44",1,285245.947235859,4426040.63431124,TRUE
"34",0,"F3_","F3_33",0.42529616254918,"F1_15",1,285250.849110456,4426039.33968815,TRUE
"35",0,"F3_","F3_34",0.36076723332526,"F1_47",1,285247.908258476,4426039.01881367,TRUE
"36",0,"F3_","F3_35",0.290147049207314,"F1_16",1,285251.951312149,4426038.26010244,TRUE
"37",0,"F3_","F3_36",0.161054068625252,"F1_49",1,285247.183475925,4426038.25139702,TRUE
"38",0,"F3_","F3_37",0.146373245884043,"F1_50",1,285245.720854507,4426038.11453415,TRUE
"39",0,"F3_","F3_38",0.112285027393186,"F1_51",1,285250.162089045,4426038.07556875,TRUE
"40",0,"F3_","F3_39",0.163699224723229,"F1_17",1,285253.38907243,4426037.57340364,TRUE
"41",0,"F3_","F3_40",0.405223212653962,"F1_54",1,285251.119092464,4426037.37546031,TRUE
"42",0,"F3_","F3_41",0.16340141205624,"F1_48",1,285248.280232402,4426038.43615043,TRUE
"43",0,"F3_","F3_42",0.104685507217345,"F1_52",1,285249.010113022,4426037.35580203,TRUE
"44",0,"F3_","F3_43",0.208808737522448,"F1_53",1,285246.210150922,4426037.30331432,TRUE
"45",0,"F3_","F3_44",0.137680015960105,"F1_830",1,285256.012558308,4426037.08962125,TRUE
"46",0,"F3_","F3_45",0.251822376944367,"F1_57",1,285247.268337279,4426037.11250829,TRUE
"47",0,"F3_","F3_46",0.425495359427657,"F1_18",1,285252.18422974,4426036.92469593,TRUE
"48",0,"F3_","F3_47",0.145802612451982,"F1_58",1,285249.855591004,4426036.6424091,TRUE
"49",0,"F3_","F3_48",0.268868335856923,"F1_19",1,285253.163534196,4426036.54966947,TRUE
"50",0,"F3_","F3_49",0.131890868581804,"F1_59",1,285248.998333142,4426036.42334142,TRUE
"51",0,"F3_","F3_50",0.23736607993816,"F1_60",1,285247.825288921,4426036.32622766,TRUE
"52",0,"F3_","F3_51",0.201432082512253,"F1_20",1,285251.287208461,4426036.22883385,TRUE
"53",0,"F3_","F3_52",0.3616204840464,"F1_62",1,285247.176952112,4426036.0809806,TRUE
"54",0,"F3_","F3_53",0.148969380434411,"F1_21",1,285255.524598085,4426035.96972381,TRUE
"55",0,"F3_","F3_54",0.32592596114802,"F1_61",1,285245.721879913,4426035.88375605,TRUE
"56",0,"F3_","F3_55",0.180343454442844,"F1_829",1,285250.715061434,4426035.68246154,TRUE
"57",0,"F3_","F3_56",0.0238006794176069,"F1_63",1,285249.418521458,4426035.51855681,TRUE
"58",0,"F3_","F3_57",0.142921887398091,"F1_64",1,285247.588861332,4426035.23081378,TRUE
"59",0,"F3_","F3_58",0.312850203664111,"F1_66",1,285249.009433765,4426034.96435873,TRUE
"60",0,"F3_","F3_59",0.214475961930914,"F1_65",1,285245.479166527,4426034.80857686,TRUE
"61",0,"F3_","F3_60",0.128178311220197,"F1_184",1,285245.526090642,4426033.81357503,TRUE
"62",0,"F3_","F3_61",0.229393305630538,"F1_38",1,285244.934662225,4426043.71266542,TRUE
"63",0,"F3_","F3_62",0.156483527791076,"F1_39",1,285243.871735643,4426043.72017141,TRUE
"64",0,"F3_","F3_63",0.14066846523517,"F1_832",1,285243.287557429,4426042.53720346,TRUE
"65",0,"F3_","F3_64",0.248331572269998,"F1_43",1,285244.197519426,4426041.03447096,TRUE
"66",0,"F3_","F3_65",0.107624498071103,"F1_42",1,285243.066770541,4426040.94457763,TRUE
"67",0,"F3_","F3_66",0.155141590601377,"F1_45",1,285244.9460092,4426040.06094989,TRUE
"68",0,"F3_","F3_67",0.127934991959602,"F1_46",1,285245.186338799,4426039.26932672,TRUE
"69",0,"F3_","F3_68",0.276588877210247,"F1_55",1,285245.184512152,4426036.96854142,TRUE
"70",0,"F3_","F3_69",0.271921247100294,"F1_56",1,285244.39208062,4426036.85080332,TRUE
"71",0,"F3_","F3_70",0.237801805235382,"F1_67",1,285296.051154469,4426023.74874552,TRUE
"72",0,"F3_","F3_71",0.111188358910068,"F1_68",1,285292.555411788,4426023.62391954,TRUE
"73",0,"F3_","F3_72",0.303775271863513,"F1_91",1,285291.141583246,4426023.56670194,TRUE
"74",0,"F3_","F3_73",0.0768920975202564,"F1_93",1,285291.832396475,4426023.24385641,TRUE
"75",0,"F3_","F3_74",0.359000385551185,"F1_94",1,285290.783511788,4426022.98556092,TRUE
"76",0,"F3_","F3_75",0.11258559077222,"F1_70",1,285295.793173301,4426022.65945347,TRUE
"77",0,"F3_","F3_76",0.0779439202148045,"F1_69",1,285293.789118877,4426022.68390053,TRUE
"78",0,"F3_","F3_77",0.22735883554971,"F1_818",1,285295.911076185,4426021.88678793,TRUE
"79",0,"F3_","F3_78",0.254285641175379,"F1_71",1,285294.85136287,4426021.99505384,TRUE
"80",0,"F3_","F3_79",0.162098899430516,"F1_108",1,285291.170893425,4426021.58401967,TRUE
"81",0,"F3_","F3_80",0.0422190639158307,"F1_72",1,285292.684981975,4426021.29785782,TRUE
"82",0,"F3_","F3_81",0.273210096451859,"F1_74",1,285289.680414245,4426027.57507696,TRUE
"83",0,"F3_","F3_82",0.14621442688029,"F1_75",1,285287.948946404,4426026.95793924,TRUE
"84",0,"F3_","F3_83",0.195269489545784,"F1_78",1,285288.191902956,4426026.04674669,TRUE
"85",0,"F3_","F3_84",0.194116439651874,"F1_77",1,285289.228568862,4426025.72704403,TRUE
"86",0,"F3_","F3_85",0.271016310450721,"F1_80",1,285285.156178875,4426025.48840132,TRUE
"87",0,"F3_","F3_86",0.181928925993312,"F1_79",1,285283.724982022,4426025.55639798,TRUE
"88",0,"F3_","F3_87",0.158519669908828,"F1_81",1,285281.242722689,4426025.42581712,TRUE
"89",0,"F3_","F3_88",0.259487328449033,"F1_82",1,285290.046871563,4426025.04785102,TRUE
"90",0,"F3_","F3_89",0.234646676045648,"F1_84",1,285288.665823975,4426024.75617891,TRUE
"91",0,"F3_","F3_90",0.121975115634162,"F1_86",1,285282.442788975,4426024.54029225,TRUE
"92",0,"F3_","F3_91",0.281909903747952,"F1_85",1,285289.656140413,4426024.31606798,TRUE
"93",0,"F3_","F3_92",0.227283987793589,"F1_88",1,285281.362822229,4426024.19820499,TRUE
"94",0,"F3_","F3_93",0.0681557665283313,"F1_89",1,285284.342217464,4426024.09651206,TRUE
"95",0,"F3_","F3_94",0.195706623896842,"F1_90",1,285280.1114421,4426023.81714829,TRUE
"96",0,"F3_","F3_95",0.201635537640866,"F1_96",1,285281.664425132,4426023.3725147,TRUE
"97",0,"F3_","F3_96",0.23295847956181,"F1_92",1,285283.072925956,4426023.29565835,TRUE
"98",0,"F3_","F3_97",0.179893659743828,"F1_97",1,285284.895020503,4426023.10588489,TRUE
"99",0,"F3_","F3_98",0.0985673364342189,"F1_99",1,285280.527703475,4426022.92691542,TRUE
"100",0,"F3_","F3_99",0.0289440840169693,"F1_98",1,285286.102634048,4426022.83633605,TRUE
"101",0,"F3_","F3_100",0.108089965330967,"F1_101",1,285284.116368892,4426022.44191458,TRUE
"102",0,"F3_","F3_101",0.223862089295694,"F1_102",1,285282.483516587,4426022.37326175,TRUE
"103",0,"F3_","F3_102",0.386940688303171,"F1_104",1,285283.567253608,4426022.09109575,TRUE
"104",0,"F3_","F3_103",0.156804336765583,"F1_105",1,285290.073144217,4426022.06457609,TRUE
"105",0,"F3_","F3_104",0.260092712565528,"F1_103",1,285285.419655036,4426022.02149104,TRUE
"106",0,"F3_","F3_105",0.247315001411841,"F1_109",1,285280.863640381,4426022.07973638,TRUE
"107",0,"F3_","F3_106",0.0476107618982659,"F1_106",1,285286.797162725,4426021.76598016,TRUE
"108",0,"F3_","F3_107",0.0445451751514503,"F1_107",1,285288.062291753,4426021.83110128,TRUE
"109",0,"F3_","F3_108",0.144668093209386,"F1_110",1,285281.720213887,4426021.40287033,TRUE
"110",0,"F3_","F3_109",0.234689957674696,"F1_112",1,285279.604660404,4426021.15433391,TRUE
"111",0,"F3_","F3_110",0.178211752667936,"F1_111",1,285285.817885086,4426021.10511447,TRUE
"112",0,"F3_","F3_111",0.272724247243202,"F1_117",1,285275.264893801,4426023.88883785,TRUE
"113",0,"F3_","F3_112",0.340788807494214,"F1_118",1,285274.178256866,4426023.49131594,TRUE
