"","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",0,"F3_0",0.104700071703248,"F1_1",1,285893.258920023,4425678.18709222,TRUE
"2",0,"F3_1",0.33562352919621,"F1_3",1,285893.591111365,4425675.56607699,TRUE
"3",0,"F3_2",0.185303459485048,"F1_1336",1,285896.447223761,4425671.30807056,TRUE
"4",0,"F3_3",0.190787356795843,"F1_36",1,285896.140223953,4425670.09512211,TRUE
"5",0,"F3_4",0.259127443404932,"F1_0",1,285891.724797571,4425678.184663,TRUE
"6",0,"F3_5",0.381036152296919,"F1_7",1,285887.658001281,4425677.59307703,TRUE
"7",0,"F3_6",0.240509378042974,"F1_8",1,285889.89341746,4425677.26736537,TRUE
"8",0,"F3_7",0.191372801257798,"F1_9",1,285887.423362582,4425676.71904303,TRUE
"9",0,"F3_8",0.33135659492005,"F1_12",1,285888.62972323,4425673.96294744,TRUE
"10",0,"F3_9",0.415174161184488,"F1_16",1,285910.686246064,4425667.4536186,TRUE
"11",0,"F3_10",0.260062556237483,"F1_17",1,285910.073931566,4425666.72615521,TRUE
"12",0,"F3_11",0.215247642210255,"F1_20",1,285914.019806278,4425666.12212563,TRUE
"13",0,"F3_12",0.257271728147948,"F1_18",1,285912.99728691,4425666.05509283,TRUE
"14",0,"F3_13",0.160245720116202,"F1_21",1,285909.848137364,4425665.90911243,TRUE
"15",0,"F3_14",0.341574808409025,"F1_19",1,285911.840182516,4425665.81447687,TRUE
"16",0,"F3_15",0.154294632607715,"F1_1326",1,285908.599193962,4425665.85743202,TRUE
"17",0,"F3_16",0.135451347996531,"F1_22",1,285913.552252126,4425665.19560627,TRUE
"18",0,"F3_17",0.467384436999982,"F1_24",1,285913.904902414,4425664.04906041,TRUE
"19",0,"F3_18",0.609645572918909,"F1_26",0,285908.990631022,4425663.95349438,TRUE
"20",0,"F3_19",0.336824164479599,"F1_25",1,285913.195487582,4425663.85858758,TRUE
"21",0,"F3_20",0.0997845584784881,"F1_26",1,285909.685458614,4425663.89510368,TRUE
"22",0,"F3_21",0.316831730536096,"F1_27",1,285911.215298101,4425663.09692062,TRUE
"23",0,"F3_22",0.177518293322705,"F1_28",1,285912.19124197,4425662.81139603,TRUE
"24",0,"F3_23",0.29436207722328,"F1_1324",1,285903.798773475,4425662.11304193,TRUE
"25",0,"F3_24",0.242168308424665,"F1_29",1,285904.85191893,4425661.40284988,TRUE
"26",0,"F3_25",0.164826535120814,"F1_1319",1,285906.06864335,4425661.11884217,TRUE
"27",0,"F3_26",0.34143068623658,"F1_30",1,285904.739755388,4425660.59442051,TRUE
"28",0,"F3_27",0.264051955715463,"F1_31",1,285907.238304763,4425660.43755381,TRUE
"29",0,"F3_28",0.264765260309384,"F1_32",1,285904.161889854,4425659.4621857,TRUE
"30",0,"F3_29",0.236212237478408,"F1_33",1,285908.406866179,4425659.21635061,TRUE
"31",0,"F3_30",0.267174787762013,"F1_37",1,285896.163247715,4425668.77593162,TRUE
