"","PCC","PCC.sd","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","nestimate","colony","flight"
"1",0.986193293885602,0.00518741274142889,0.713489949140229,0.103032060642102,0.985943775100402,0.00528058732503539,1,0,0.992971887550201,0.0026402936625177,491,"bluffs","f1f3f4"
"11",0.986301369863014,0.00514704896782316,0.170415281309082,0.0964581725122666,0.985943775100402,0.00528058732503539,1,0,0.992971887550201,0.0026402936625177,491,"bluffs","f3f4f1"
"12",0.986301369863014,0.00514704896782316,0.170415281309082,0.0964581725122666,0.985943775100402,0.00528058732503539,1,0,0.992971887550201,0.0026402936625177,491,"bluffs","f3f1f4"
"13",0.986247544204322,0.00516715203455066,0.170415281309082,0.0964581725122666,0.985943775100402,0.00528058732503539,1,0,0.992971887550201,0.0026402936625177,491,"bluffs","f4f1f3"
"14",0.986247544204322,0.00516715203455066,0.170415281309082,0.0964581725122666,0.985943775100402,0.00528058732503539,1,0,0.992971887550201,0.0026402936625177,491,"bluffs","f4f3f1"
"15",0.986193293885602,0.00518741274142889,0.713489949140229,0.103032060642102,0.985943775100402,0.00528058732503539,1,0,0.992971887550201,0.0026402936625177,491,"bluffs","f1f3f4"
