UFID,dist,nnid2,Observed,Nesting
F4_320,0.971262376,F4_324,1,1
F4_324,0.971262376,F4_320,1,1
F4_757,0.972152647,F4_47,1,1
F4_677,0.972323196,F4_678,1,1
F4_678,0.972323196,F4_677,1,1
F4_579,0.972323196,F4_580,1,1
F4_580,0.972323196,F4_579,1,1
F4_511,0.972840846,F4_515,1,1
F4_515,0.972840846,F4_511,1,1
F4_718,0.972863025,F4_719,1,1
F4_719,0.972863025,F4_718,1,1
F4_547,0.973034576,F4_549,1,1
F4_252,0.974532434,F4_255,1,1
F4_255,0.974532434,F4_252,1,1
F4_209,0.974662382,F4_399,1,1
F4_399,0.974662382,F4_209,1,1
F4_803,0.974750075,F4_804,1,1
F4_804,0.974750075,F4_803,1,1
F4_99,0.97503575,F4_776,1,1
F4_376,0.977844174,F4_486,1,1
F4_694,0.978126561,F4_399,1,1
F4_107,0.978306039,F4_109,1,1
F4_109,0.978306039,F4_107,1,1
F4_444,0.978400456,F4_445,1,1
F4_767,0.979976583,F4_45,1,1
F4_576,0.980210903,F4_575,1,1
F4_450,0.980305002,F4_584,1,1
F4_754,0.982262022,F4_755,1,1
F4_755,0.982262022,F4_754,1,1
F4_770,0.982395641,F4_769,1,1
F4_159,0.986401259,F4_680,1,1
F4_680,0.986401259,F4_159,1,1
F4_103,0.986900822,F4_729,1,1
F4_729,0.986900822,F4_103,1,1
F4_613,0.988085238,F4_614,1,1
F4_172,0.989758425,F4_674,1,1
F4_674,0.989758425,F4_172,1,1
F4_181,0.991664265,F4_183,1,1
F4_183,0.991664265,F4_181,1,1
F4_68,0.992350032,F4_70,1,1
F4_312,0.993590834,F4_310,1,1
F4_21,0.994118018,F4_796,1,1
F4_796,0.994118018,F4_21,1,1
F4_206,0.994513895,F4_209,1,1
F4_433,0.994892712,F4_579,1,1
F4_43,0.995440608,F4_761,1,1
F4_761,0.995440608,F4_43,1,1
F4_463,0.995981804,F4_464,0,1
F4_464,0.995981804,F4_463,1,1
F4_366,0.99656283,F4_369,1,1
F4_369,0.99656283,F4_366,1,1
F4_224,0.998195501,F4_226,1,1
F4_226,0.998195501,F4_224,1,1
F4_552,0.999096202,F4_551,1,1
F4_187,0.999198614,F4_685,1,1
F4_685,0.999198614,F4_187,1,1
F4_241,0.999487402,F4_705,1,1
F4_705,0.999487402,F4_241,1,1
F4_807,0.999920492,F4_808,1,1
F4_283,1.001067455,F4_285,1,1
F4_50,1.001860531,F4_751,1,1
F4_106,1.003114421,F4_108,1,1
F4_108,1.003114421,F4_106,1,1
F4_207,1.003468897,F4_404,1,1
F4_404,1.003468897,F4_207,1,1
F4_499,1.004931118,F4_502,1,1
F4_502,1.004931118,F4_499,1,1
F4_363,1.005645331,F4_365,1,1
F4_365,1.005645331,F4_363,1,1
F4_281,1.005658702,F4_284,1,1
F4_733,1.007272,F4_113,1,1
F4_534,1.007701066,F4_609,1,1
F4_20,1.008126266,F4_795,1,1
F4_795,1.008126266,F4_20,1,1
F4_474,1.00844521,F4_478,1,1
F4_478,1.00844521,F4_474,1,1
F4_116,1.009932184,F4_122,1,1
F4_122,1.009932184,F4_116,1,1
F4_114,1.010106004,F4_118,1,1
F4_118,1.010106004,F4_114,1,1
F4_753,1.010173343,F4_52,0,1
F4_742,1.010290202,F4_65,1,1
F4_279,1.011078137,F4_711,1,1
F4_125,1.011543333,F4_781,1,1
F4_586,1.012703157,F4_587,1,1
F4_818,1.012974199,F4_2,1,1
F4_121,1.016081666,F4_122,1,1
F4_76,1.018426823,F4_738,1,1
F4_568,1.018762535,F4_570,1,1
F4_734,1.018885275,F4_812,1,1
F4_83,1.019993012,F4_84,1,1
F4_84,1.019993012,F4_83,1,1
F4_611,1.020785287,F4_505,1,1
F4_643,1.021307417,F4_641,1,1
F4_762,1.021366535,F4_760,1,1
F4_633,1.022954576,F4_634,1,1
F4_676,1.023105119,F4_677,1,1
F4_387,1.024182625,F4_391,1,1
F4_774,1.024907596,F4_83,1,1
F4_59,1.025154613,F4_773,1,1
F4_773,1.025154613,F4_59,1,1
F4_436,1.025287668,F4_434,1,1
F4_100,1.026038952,F4_776,1,1
F4_145,1.027653156,F4_147,1,1
F4_147,1.027653156,F4_145,1,1
F4_26,1.027677681,F4_784,1,1
F4_784,1.027677681,F4_26,1,1
F4_319,1.028021046,F4_320,1,1
F4_57,1.028210796,F4_744,1,1
F4_744,1.028210796,F4_57,1,1
F4_294,1.02969782,F4_297,1,1
F4_297,1.02969782,F4_294,1,1
F4_230,1.031560539,F4_232,1,1
F4_232,1.031560539,F4_230,1,1
F4_482,1.031920576,F4_483,1,1
F4_483,1.031920576,F4_482,1,1
F4_248,1.032084094,F4_251,1,1
F4_251,1.032084094,F4_248,1,1
F4_292,1.032803254,F4_596,1,1
F4_596,1.032803254,F4_292,1,1
F4_495,1.03314064,F4_500,1,1
F4_500,1.03314064,F4_495,1,1
F4_302,1.034857889,F4_301,1,1
F4_623,1.036902097,F4_624,1,1
F4_105,1.037049391,F4_107,1,1
F4_368,1.037488757,F4_365,1,1
F4_787,1.037969257,F4_35,1,1
F4_460,1.038248083,F4_470,1,1
F4_470,1.038248083,F4_460,1,1
F4_397,1.038564676,F4_635,1,1
F4_272,1.038672552,F4_709,1,1
F4_709,1.038672552,F4_272,1,1
F4_498,1.04159231,F4_501,1,1
F4_501,1.04159231,F4_498,1,1
F4_766,1.042108643,F4_767,1,1
F4_503,1.042445001,F4_598,1,1
F4_598,1.042445001,F4_503,1,1
F4_265,1.043038556,F4_730,1,1
F4_730,1.043038556,F4_265,1,1
F4_616,1.044499883,F4_614,1,1
F4_509,1.044908306,F4_598,1,1
F4_537,1.045482511,F4_539,1,1
F4_338,1.047603797,F4_664,1,1
F4_664,1.047603797,F4_338,1,1
F4_250,1.04791639,F4_691,1,1
F4_411,1.048230347,F4_808,1,1
F4_367,1.048378595,F4_662,1,1
F4_662,1.048378595,F4_367,1,1
F4_615,1.048833926,F4_617,1,1
F4_617,1.048833926,F4_615,1,1
F4_671,1.049650184,F4_166,1,1
F4_588,1.05045125,F4_589,1,1
F4_589,1.05045125,F4_588,1,1
F4_672,1.051849417,F4_168,1,1
F4_377,1.053071656,F4_381,1,1
F4_381,1.053071656,F4_377,1,1
F4_130,1.053438544,F4_134,1,1
F4_134,1.053438544,F4_130,1,1
F4_268,1.055143537,F4_265,1,1
F4_713,1.056402647,F4_267,1,1
F4_379,1.0564309,F4_381,1,1
F4_149,1.057047145,F4_178,1,1
F4_698,1.057049771,F4_233,1,1
F4_174,1.058073792,F4_169,1,1
F4_638,1.05841813,F4_639,1,1
F4_296,1.058674204,F4_594,1,1
F4_594,1.058674204,F4_296,1,1
F4_660,1.059192364,F4_357,1,1
F4_426,1.060612362,F4_427,1,1
F4_758,1.061246005,F4_759,1,1
F4_479,1.064106411,F4_474,1,1
F4_469,1.06618599,F4_470,1,1
F4_374,1.066557243,F4_484,1,1
F4_97,1.067128937,F4_699,1,1
F4_699,1.067128937,F4_97,1,1
F4_658,1.067697287,F4_381,1,1
F4_725,1.068579835,F4_726,1,1
F4_726,1.068579835,F4_725,1,1
F4_746,1.068967558,F4_60,1,1
F4_745,1.06921229,F4_61,1,1
F4_620,1.069217767,F4_495,1,1
F4_193,1.073808136,F4_741,1,1
F4_741,1.073808136,F4_193,1,1
F4_69,1.074018669,F4_72,1,1
F4_518,1.074087628,F4_519,1,1
F4_519,1.074087628,F4_518,1,1
F4_104,1.074189464,F4_106,1,1
F4_25,1.075666348,F4_27,1,1
F4_27,1.075666348,F4_25,1,1
F4_447,1.075707026,F4_449,1,1
F4_449,1.075707026,F4_447,1,1
F4_488,1.076098541,F4_824,1,1
F4_824,1.076098541,F4_488,1,1
F4_431,1.07619981,F4_430,1,1
F4_221,1.076691015,F4_825,1,1
F4_825,1.076691015,F4_221,1,1
F4_601,1.077287241,F4_535,1,1
F4_648,1.077753061,F4_653,1,1
F4_653,1.077753061,F4_648,1,1
F4_127,1.078973538,F4_131,1,1
F4_131,1.078973538,F4_127,1,1
F4_282,1.079572489,F4_712,1,1
F4_299,1.079755399,F4_443,1,1
F4_797,1.080451055,F4_22,1,1
F4_512,1.080955749,F4_507,1,1
F4_386,1.08097346,F4_641,1,1
