"","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","colony","flight"
"1",0.281667977970102,0.158091614286114,0.945205479452055,0.0268204112430839,0.3,0.152752523165195,0.622602739726027,0.0775446126313451,"bsouth","f4"
"11",0.251968503937008,0.229493356393146,0.958904109589041,0.0233948647624649,0.333333333333333,0.333333333333333,0.646118721461187,0.167076652175255,"bsouth","f3"
"12",0.458904109589041,0.186587570602688,0.958904109589041,0.0233948647624649,0.5,0.223606797749979,0.729452054794521,0.112413655417451,"bsouth","f1"
"13",-0.0187134502923956,0.00575853616952978,0.984709480122324,0.00679604718194492,0,0,0.507645259938838,0.00339802359097246,"bnorth","f1"
"14",0.265180404810796,0.130353913085998,0.966360856269113,0.00998581075227158,0.428571428571429,0.202030508910442,0.697466142420271,0.101138571953277,"bnorth","f3"
"15",0.353695955369594,0.186851145800531,0.984709480122324,0.00679604718194492,0.5,0.288675134594813,0.742354740061162,0.144377560228929,"bnorth","f4"
