"","sens","PCC","spec","thresholds"
"1",0,0.0394736842105263,1,0
"2",0,0.0394736842105263,1,0.05
"3",0,0.0394736842105263,1,0.1
"4",0,0.0394736842105263,1,0.15
"5",0,0.0394736842105263,1,0.2
"6",0,0.0394736842105263,1,0.25
"7",0,0.0394736842105263,1,0.3
"8",0,0.0394736842105263,1,0.35
"9",0,0.0394736842105263,1,0.4
"10",0,0.0394736842105263,1,0.45
"11",0,0.0394736842105263,1,0.5
"12",0.0136986301369863,0.0394736842105263,0.666666666666667,0.55
"13",0.0136986301369863,0.0394736842105263,0.666666666666667,0.6
"14",0.0410958904109589,0.0657894736842105,0.666666666666667,0.65
"15",0.0410958904109589,0.0657894736842105,0.666666666666667,0.7
"16",0.0684931506849315,0.0921052631578947,0.666666666666667,0.75
"17",0.0958904109589041,0.118421052631579,0.666666666666667,0.8
"18",0.178082191780822,0.197368421052632,0.666666666666667,0.85
"19",0.232876712328767,0.25,0.666666666666667,0.9
"20",0.315068493150685,0.328947368421053,0.666666666666667,0.95
"21",0.438356164383562,0.447368421052632,0.666666666666667,1
"22",0.534246575342466,0.539473684210526,0.666666666666667,1.05
"23",0.616438356164384,0.618421052631579,0.666666666666667,1.1
"24",0.753424657534247,0.75,0.666666666666667,1.15
"25",0.808219178082192,0.802631578947368,0.666666666666667,1.2
"26",0.821917808219178,0.802631578947368,0.333333333333333,1.25
"27",0.876712328767123,0.855263157894737,0.333333333333333,1.3
"28",0.89041095890411,0.868421052631579,0.333333333333333,1.35
"29",0.917808219178082,0.894736842105263,0.333333333333333,1.4
"30",0.931506849315068,0.907894736842105,0.333333333333333,1.45
"31",0.931506849315068,0.907894736842105,0.333333333333333,1.5
"32",0.945205479452055,0.921052631578947,0.333333333333333,1.55
"33",0.958904109589041,0.934210526315789,0.333333333333333,1.6
"34",0.972602739726027,0.947368421052632,0.333333333333333,1.65
"35",0.972602739726027,0.947368421052632,0.333333333333333,1.7
"36",1,0.973684210526316,0.333333333333333,1.75
"37",1,0.973684210526316,0.333333333333333,1.8
