"","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",0,"F4_","F4_0",11.5503384099905,"F1_6",0,285296.316106406,4425788.72591658,TRUE
"2",0,"F4_","F4_1",9.36935514756501,"F1_6",0,285298.450712316,4425788.27104838,TRUE
"3",0,"F4_","F4_2",0.343782082042485,"F1_7",1,285317.58123313,4425785.44242902,TRUE
"4",0,"F4_","F4_3",0.171333200410964,"F1_10",1,285314.839064737,4425785.09831396,TRUE
"5",0,"F4_","F4_4",0.170353123995897,"F1_11",1,285312.341542368,4425784.64499824,TRUE
"6",0,"F4_","F4_5",0.17983143930756,"F1_76",1,285316.303272658,4425784.4499115,TRUE
"7",0,"F4_","F4_6",0.189926832175379,"F1_14",1,285317.611962775,4425784.39795411,TRUE
"8",0,"F4_","F4_7",0.312108845791618,"F1_77",1,285316.52777753,4425783.52778091,TRUE
"9",0,"F4_","F4_8",0.111391869401019,"F1_0",1,285320.569785123,4425783.22958823,TRUE
"10",0,"F4_","F4_9",0.152316106677739,"F1_17",1,285319.314926434,4425783.13972273,TRUE
"11",0,"F4_","F4_10",0.0428842869430501,"F1_16",1,285314.547209824,4425783.25336183,TRUE
"12",0,"F4_","F4_11",0.303889130398843,"F1_18",1,285318.130157629,4425782.80888562,TRUE
"13",0,"F4_","F4_12",0.180332165113593,"F1_21",1,285318.681452882,4425782.17890693,TRUE
"14",0,"F4_","F4_13",0.776672719242721,"F1_20",0,285314.190574811,4425782.10473924,TRUE
"15",0,"F4_","F4_14",0.188469261418146,"F1_24",1,285317.585423844,4425781.98014268,TRUE
"16",0,"F4_","F4_15",0.173775006737709,"F1_25",1,285313.204468536,4425781.27820658,TRUE
"17",0,"F4_","F4_16",0.244897395640845,"F1_27",1,285315.848364388,4425780.91995517,TRUE
"18",0,"F4_","F4_17",0.265529932637074,"F1_28",1,285314.156581375,4425780.56963386,TRUE
"19",0,"F4_","F4_18",0.0761240774653005,"F1_30",1,285313.203079541,4425780.05390488,TRUE
"20",0,"F4_","F4_19",0.227921985092195,"F1_29",1,285315.873367037,4425780.23825856,TRUE
"21",0,"F4_","F4_20",1.08750916702786,"F1_34",0,285313.485020234,4425778.9600198,TRUE
"22",0,"F4_","F4_21",0.316387502759491,"F1_2",1,285311.799039467,4425786.39323803,TRUE
"23",0,"F4_","F4_22",0.210934307907888,"F1_26",1,285310.986097607,4425781.43852801,TRUE
"24",0,"F4_","F4_23",0.0776305868064106,"F1_32",1,285311.935247812,4425779.90055985,TRUE
"25",0,"F4_","F4_24",0.145219160619663,"F1_31",1,285310.275754199,4425779.71892437,TRUE
