"","CLASS_ID","Flight","UFID","dist","nnid","Nesting","observed","coords.x1","coords.x2","optional"
"62",0,"F1_","F1_61",0.208137200711127,"F4_51",1,1,285301.965106212,4425769.39604237,TRUE
"63",0,"F1_","F1_62",0.298460620949741,"F4_64",1,1,285306.346235281,4425768.93348924,TRUE
"64",0,"F1_","F1_63",0.239091106874199,"F4_62",1,1,285303.259088095,4425768.94543271,TRUE
"65",0,"F1_","F1_64",0.27510726340773,"F4_53",1,1,285301.232925718,4425768.69803983,TRUE
"66",0,"F1_","F1_65",0.245112474760311,"F4_54",1,1,285302.327619678,4425768.34468894,TRUE
"67",0,"F1_","F1_66",0.130260814243998,"F4_55",1,1,285299.65283718,4425768.16999069,TRUE
"68",0,"F1_","F1_67",0.169177150131735,"F4_56",1,1,285303.169472437,4425767.86716855,TRUE
"69",0,"F1_","F1_68",0.67591767004605,"F4_53",0,0,285300.777804037,4425767.86733098,TRUE
"70",0,"F1_","F1_69",0.166874298230027,"F4_50",1,1,285304.817845903,4425767.51598768,TRUE
"71",0,"F1_","F1_70",0.10217137495414,"F4_57",1,1,285298.734908009,4425767.44604053,TRUE
"72",0,"F1_","F1_71",0.248300680839445,"F4_59",1,1,285301.680076275,4425767.22781021,TRUE
"73",0,"F1_","F1_72",0.263037760128504,"F4_58",1,1,285300.005779077,4425767.18372587,TRUE
"74",0,"F1_","F1_73",0.410179599793979,"F4_60",1,1,285300.650456303,4425766.71341708,TRUE
"75",0,"F1_","F1_74",0.27925575579814,"F4_68",1,1,285301.565619828,4425766.02538642,TRUE
"76",0,"F1_","F1_75",0.0896761900355675,"F4_61",1,1,285301.809320677,4425764.67613323,TRUE
"77",0,"F1_","F1_76",0.17983143930756,"F4_5",1,1,285316.242193222,4425784.61905241,TRUE
"78",0,"F1_","F1_77",0.312108845791618,"F4_7",1,1,285316.803111011,4425783.38079994,TRUE
"79",0,"F1_","F1_78",0.3810521388905,"F4_63",1,1,285304.848418353,4425770.99695225,TRUE
