"","sens","PCC","spec","thresholds"
"1",0,0.0209580838323353,1,0
"2",0,0.0209580838323353,1,0.05
"3",0,0.0209580838323353,1,0.1
"4",0,0.0209580838323353,1,0.15
"5",0,0.0209580838323353,1,0.2
"6",0,0.0209580838323353,1,0.25
"7",0,0.0209580838323353,1,0.3
"8",0,0.0209580838323353,1,0.35
"9",0,0.0149700598802395,0.714285714285714,0.4
"10",0,0.0149700598802395,0.714285714285714,0.45
"11",0,0.0149700598802395,0.714285714285714,0.5
"12",0.00305810397553517,0.0149700598802395,0.571428571428571,0.55
"13",0.00305810397553517,0.0149700598802395,0.571428571428571,0.6
"14",0.00305810397553517,0.0149700598802395,0.571428571428571,0.65
"15",0.00917431192660551,0.0209580838323353,0.571428571428571,0.7
"16",0.0305810397553517,0.0419161676646707,0.571428571428571,0.75
"17",0.073394495412844,0.0838323353293413,0.571428571428571,0.8
"18",0.125382262996942,0.134730538922156,0.571428571428571,0.85
"19",0.192660550458716,0.20059880239521,0.571428571428571,0.9
"20",0.235474006116208,0.24251497005988,0.571428571428571,0.95
"21",0.373088685015291,0.377245508982036,0.571428571428571,1
"22",0.53822629969419,0.535928143712575,0.428571428571429,1.05
"23",0.663608562691132,0.655688622754491,0.285714285714286,1.1
"24",0.755351681957186,0.745508982035928,0.285714285714286,1.15
"25",0.831804281345566,0.820359281437126,0.285714285714286,1.2
"26",0.883792048929664,0.87125748502994,0.285714285714286,1.25
"27",0.923547400611621,0.907185628742515,0.142857142857143,1.3
"28",0.960244648318043,0.94311377245509,0.142857142857143,1.35
"29",0.978593272171254,0.961077844311377,0.142857142857143,1.4
"30",0.990825688073395,0.970059880239521,0,1.45
"31",0.996941896024465,0.976047904191617,0,1.5
"32",0.996941896024465,0.976047904191617,0,1.55
"33",0.996941896024465,0.976047904191617,0,1.6
"34",0.996941896024465,0.976047904191617,0,1.65
"35",0.996941896024465,0.976047904191617,0,1.7
"36",0.996941896024465,0.976047904191617,0,1.75
"37",0.996941896024465,0.976047904191617,0,1.8
"38",0.996941896024465,0.976047904191617,0,1.85
"39",0.996941896024465,0.976047904191617,0,1.9
"40",0.996941896024465,0.976047904191617,0,1.95
"41",0.996941896024465,0.976047904191617,0,2
"42",0.996941896024465,0.976047904191617,0,2.05
"43",0.996941896024465,0.976047904191617,0,2.1
"44",0.996941896024465,0.976047904191617,0,2.15
"45",0.996941896024465,0.976047904191617,0,2.2
"46",0.996941896024465,0.976047904191617,0,2.25
